Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Cli,11,10%,Ekstazi,0.08333333333333333,2.0,0.06527777777777778,NA,NA,28,0,2
Cli,11,10%,FAST,0.08333333333333333,2.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,10%,Ekstazi+dpt,0.08333333333333333,2.0,0.0,NA,NA,30,0,0
Cli,11,10%,DPT,0.08333333333333333,2.0,0.0,NA,NA,30,0,0
Cli,11,10%,STARTS,0.08333333333333333,2.0,0.0951388888888889,NA,NA,27,0,3
Cli,11,10%,STARTS+FAST-S,0.08333333333333333,2.0,0.78125,NA,NA,5,0,25
Cli,11,10%,STARTS+FAST-P,0.08333333333333333,2.0,0.7215277777777779,NA,NA,7,0,23
Cli,11,10%,STARTS+DPT,0.08333333333333333,2.0,0.0,NA,NA,30,0,0
Cli,11,10%,Fastazi-S,0.08333333333333333,2.0,0.90625,NA,NA,1,0,29
Cli,11,10%,Fastazi-P,0.08333333333333333,2.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,10%,Random,0.08333333333333333,2.0,0.03263888888888889,NA,NA,29,0,1
Cli,11,20%,Ekstazi,0.16666666666666666,4.0,0.15347222222222223,NA,NA,25,0,5
Cli,11,20%,FAST,0.16666666666666666,4.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,20%,Ekstazi+dpt,0.16666666666666666,4.0,0.0,NA,NA,30,0,0
Cli,11,20%,DPT,0.16666666666666666,4.0,0.0,NA,NA,30,0,0
Cli,11,20%,STARTS,0.16666666666666666,4.0,0.15347222222222223,NA,NA,25,0,5
Cli,11,20%,STARTS+FAST-S,0.16666666666666666,4.0,0.8965277777777777,NA,NA,1,0,29
Cli,11,20%,STARTS+FAST-P,0.16666666666666666,4.0,0.9250000000000002,2.3,0.09583333333333334,0,1,30
Cli,11,20%,STARTS+DPT,0.16666666666666666,4.0,0.0,NA,NA,30,0,0
Cli,11,20%,Fastazi-S,0.16666666666666666,4.0,0.90625,NA,NA,1,0,29
Cli,11,20%,Fastazi-P,0.16666666666666666,4.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,20%,Random,0.16666666666666666,4.0,0.18055555555555555,NA,NA,24,0,6
Cli,11,25%,Ekstazi,0.25,6.0,0.28611111111111115,NA,NA,20,0,10
Cli,11,25%,FAST,0.25,6.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,25%,Ekstazi+dpt,0.25,6.0,0.0,NA,NA,30,0,0
Cli,11,25%,DPT,0.25,6.0,0.0,NA,NA,30,0,0
Cli,11,25%,STARTS,0.25,6.0,0.20486111111111113,NA,NA,23,0,7
Cli,11,25%,STARTS+FAST-S,0.25,6.0,0.9222222222222223,2.3666666666666667,0.09861111111111115,0,1,30
Cli,11,25%,STARTS+FAST-P,0.25,6.0,0.9250000000000002,2.3,0.09583333333333334,0,1,30
Cli,11,25%,STARTS+DPT,0.25,6.0,0.0,NA,NA,30,0,0
Cli,11,25%,Fastazi-S,0.25,6.0,0.90625,NA,NA,1,0,29
Cli,11,25%,Fastazi-P,0.25,6.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,25%,Random,0.25,6.0,0.23194444444444443,NA,NA,22,0,8
Cli,11,30%,Ekstazi,0.29166666666666674,7.0,0.28611111111111115,NA,NA,20,0,10
Cli,11,30%,FAST,0.29166666666666674,7.0,0.7854166666666668,NA,NA,5,0,25
Cli,11,30%,Ekstazi+dpt,0.29166666666666674,7.0,0.0,NA,NA,30,0,0
Cli,11,30%,DPT,0.29166666666666674,7.0,0.0,NA,NA,30,0,0
Cli,11,30%,STARTS,0.29166666666666674,7.0,0.20486111111111113,NA,NA,23,0,7
