Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Cli,11,1,10%,Ekstazi,2,0.0,NA,NA
Cli,11,1,10%,FAST,2,0.9375,2,0.08333333333333333
Cli,11,1,10%,Ekstazi+dpt,2,0.0,NA,NA
Cli,11,1,10%,DPT,2,0.0,NA,NA
Cli,11,1,10%,STARTS,2,0.0,NA,NA
Cli,11,1,10%,STARTS+FAST-S,2,0.9375,2,0.08333333333333333
Cli,11,1,10%,STARTS+FAST-P,2,0.9375,2,0.08333333333333333
Cli,11,1,10%,STARTS+DPT,2,0.0,NA,NA
Cli,11,1,10%,Fastazi-S,2,0.9375,2,0.08333333333333333
Cli,11,1,10%,Fastazi-P,2,0.9375,2,0.08333333333333333
Cli,11,1,10%,Random,2,0.0,NA,NA
Cli,11,1,20%,Ekstazi,4,0.8958333333333334,3,0.125
Cli,11,1,20%,FAST,4,0.9375,2,0.08333333333333333
Cli,11,1,20%,Ekstazi+dpt,4,0.0,NA,NA
Cli,11,1,20%,DPT,4,0.0,NA,NA
Cli,11,1,20%,STARTS,4,0.0,NA,NA
Cli,11,1,20%,STARTS+FAST-S,4,0.9375,2,0.08333333333333333
Cli,11,1,20%,STARTS+FAST-P,4,0.9375,2,0.08333333333333333
Cli,11,1,20%,STARTS+DPT,4,0.0,NA,NA
Cli,11,1,20%,Fastazi-S,4,0.9375,2,0.08333333333333333
Cli,11,1,20%,Fastazi-P,4,0.9375,2,0.08333333333333333
Cli,11,1,20%,Random,4,0.0,NA,NA
Cli,11,1,25%,Ekstazi,6,0.8958333333333334,3,0.125
Cli,11,1,25%,FAST,6,0.9375,2,0.08333333333333333
Cli,11,1,25%,Ekstazi+dpt,6,0.0,NA,NA
Cli,11,1,25%,DPT,6,0.0,NA,NA
Cli,11,1,25%,STARTS,6,0.0,NA,NA
Cli,11,1,25%,STARTS+FAST-S,6,0.9375,2,0.08333333333333333
Cli,11,1,25%,STARTS+FAST-P,6,0.9375,2,0.08333333333333333
Cli,11,1,25%,STARTS+DPT,6,0.0,NA,NA
Cli,11,1,25%,Fastazi-S,6,0.9375,2,0.08333333333333333
Cli,11,1,25%,Fastazi-P,6,0.9375,2,0.08333333333333333
Cli,11,1,25%,Random,6,0.0,NA,NA
Cli,11,1,30%,Ekstazi,7,0.8958333333333334,3,0.125
Cli,11,1,30%,FAST,7,0.9375,2,0.08333333333333333
Cli,11,1,30%,Ekstazi+dpt,7,0.0,NA,NA
Cli,11,1,30%,DPT,7,0.0,NA,NA
Cli,11,1,30%,STARTS,7,0.0,NA,NA
Cli,11,1,30%,STARTS+FAST-S,7,0.9375,2,0.08333333333333333
Cli,11,1,30%,STARTS+FAST-P,7,0.9375,2,0.08333333333333333
Cli,11,1,30%,STARTS+DPT,7,0.0,NA,NA
Cli,11,1,30%,Fastazi-S,7,0.9375,2,0.08333333333333333
Cli,11,1,30%,Fastazi-P,7,0.9375,2,0.08333333333333333
Cli,11,1,30%,Random,7,0.0,NA,NA
Cli,11,1,40%,Ekstazi,9,0.8958333333333334,3,0.125
Cli,11,1,40%,FAST,9,0.9375,2,0.08333333333333333
Cli,11,1,40%,Ekstazi+dpt,9,0.0,NA,NA
Cli,11,1,40%,DPT,9,0.0,NA,NA
Cli,11,1,40%,STARTS,9,0.6875000000000001,8,0.3333333333333333
Cli,11,1,40%,STARTS+FAST-S,9,0.9375,2,0.08333333333333333
Cli,11,1,40%,STARTS+FAST-P,9,0.9375,2,0.08333333333333333
Cli,11,1,40%,STARTS+DPT,9,0.0,NA,NA
Cli,11,1,40%,Fastazi-S,9,0.9375,2,0.08333333333333333
Cli,11,1,40%,Fastazi-P,9,0.9375,2,0.08333333333333333
Cli,11,1,40%,Random,9,0.0,NA,NA
Cli,11,1,50%,Ekstazi,12,0.8958333333333334,3,0.125
Cli,11,1,50%,FAST,12,0.9375,2,0.08333333333333333
Cli,11,1,50%,Ekstazi+dpt,12,0.0,NA,NA
Cli,11,1,50%,DPT,12,0.0,NA,NA
Cli,11,1,50%,STARTS,12,0.6875000000000001,8,0.3333333333333333
Cli,11,1,50%,STARTS+FAST-S,12,0.9375,2,0.08333333333333333
Cli,11,1,50%,STARTS+FAST-P,12,0.9375,2,0.08333333333333333
Cli,11,1,50%,STARTS+DPT,12,0.0,NA,NA
Cli,11,1,50%,Fastazi-S,12,0.9375,2,0.08333333333333333
Cli,11,1,50%,Fastazi-P,12,0.9375,2,0.08333333333333333
Cli,11,1,50%,Random,12,0.0,NA,NA
Cli,11,1,60%,Ekstazi,14,0.8958333333333334,3,0.125
Cli,11,1,60%,FAST,14,0.9375,2,0.08333333333333333
Cli,11,1,60%,Ekstazi+dpt,14,0.43749999999999994,14,0.5833333333333334
Cli,11,1,60%,DPT,14,0.0,NA,NA
Cli,11,1,60%,STARTS,14,0.6875000000000001,8,0.3333333333333333
