Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Codec,11,1,10%,Ekstazi,3,0.0,NA,NA
Codec,11,1,10%,FAST,3,0.0,NA,NA
Codec,11,1,10%,Ekstazi+dpt,3,0.0,NA,NA
Codec,11,1,10%,DPT,3,0.0,NA,NA
Codec,11,1,10%,STARTS,3,0.0,NA,NA
Codec,11,1,10%,STARTS+FAST-S,3,0.0,NA,NA
Codec,11,1,10%,STARTS+FAST-P,3,0.0,NA,NA
Codec,11,1,10%,STARTS+DPT,3,0.0,NA,NA
Codec,11,1,10%,Fastazi-S,3,0.0,NA,NA
Codec,11,1,10%,Fastazi-P,3,0.0,NA,NA
Codec,11,1,10%,Random,3,0.0,NA,NA
Codec,11,1,20%,Ekstazi,7,0.8815789473684211,5,0.13157894736842105
Codec,11,1,20%,FAST,7,0.0,NA,NA
Codec,11,1,20%,Ekstazi+dpt,7,0.0,NA,NA
Codec,11,1,20%,DPT,7,0.0,NA,NA
Codec,11,1,20%,STARTS,7,0.0,NA,NA
Codec,11,1,20%,STARTS+FAST-S,7,0.0,NA,NA
Codec,11,1,20%,STARTS+FAST-P,7,0.0,NA,NA
Codec,11,1,20%,STARTS+DPT,7,0.0,NA,NA
Codec,11,1,20%,Fastazi-S,7,0.0,NA,NA
Codec,11,1,20%,Fastazi-P,7,0.0,NA,NA
Codec,11,1,20%,Random,7,0.0,NA,NA
Codec,11,1,25%,Ekstazi,9,0.8815789473684211,5,0.13157894736842105
Codec,11,1,25%,FAST,9,0.0,NA,NA
Codec,11,1,25%,Ekstazi+dpt,9,0.0,NA,NA
Codec,11,1,25%,DPT,9,0.0,NA,NA
Codec,11,1,25%,STARTS,9,0.0,NA,NA
Codec,11,1,25%,STARTS+FAST-S,9,0.0,NA,NA
Codec,11,1,25%,STARTS+FAST-P,9,0.0,NA,NA
Codec,11,1,25%,STARTS+DPT,9,0.0,NA,NA
Codec,11,1,25%,Fastazi-S,9,0.0,NA,NA
Codec,11,1,25%,Fastazi-P,9,0.0,NA,NA
Codec,11,1,25%,Random,9,0.0,NA,NA
Codec,11,1,30%,Ekstazi,11,0.8815789473684211,5,0.13157894736842105
Codec,11,1,30%,FAST,11,0.0,NA,NA
Codec,11,1,30%,Ekstazi+dpt,11,0.0,NA,NA
Codec,11,1,30%,DPT,11,0.0,NA,NA
Codec,11,1,30%,STARTS,11,0.0,NA,NA
Codec,11,1,30%,STARTS+FAST-S,11,0.0,NA,NA
Codec,11,1,30%,STARTS+FAST-P,11,0.0,NA,NA
Codec,11,1,30%,STARTS+DPT,11,0.0,NA,NA
Codec,11,1,30%,Fastazi-S,11,0.0,NA,NA
