Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Codec,11,10%,Ekstazi,0.07894736842105264,3.0,0.06403508771929825,NA,NA,28,0,2
Codec,11,10%,FAST,0.07894736842105264,3.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,10%,Ekstazi+dpt,0.07894736842105264,3.0,0.0,NA,NA,30,0,0
Codec,11,10%,DPT,0.07894736842105264,3.0,0.0,NA,NA,30,0,0
Codec,11,10%,STARTS,0.07894736842105264,3.0,0.0969298245614035,NA,NA,27,0,3
Codec,11,10%,STARTS+FAST-S,0.07894736842105264,3.0,0.09692982456140352,NA,NA,27,0,3
Codec,11,10%,STARTS+FAST-P,0.07894736842105264,3.0,0.0649122807017544,NA,NA,28,0,2
Codec,11,10%,STARTS+DPT,0.07894736842105264,3.0,0.0,NA,NA,30,0,0
Codec,11,10%,Fastazi-S,0.07894736842105264,3.0,0.0,NA,NA,30,0,0
Codec,11,10%,Fastazi-P,0.07894736842105264,3.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,10%,Random,0.07894736842105264,3.0,0.06315789473684211,NA,NA,28,0,2
Codec,11,20%,Ekstazi,0.15789473684210528,6.0,0.20833333333333337,NA,NA,23,0,7
Codec,11,20%,FAST,0.15789473684210528,6.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,20%,Ekstazi+dpt,0.15789473684210528,6.0,0.0,NA,NA,30,0,0
Codec,11,20%,DPT,0.15789473684210528,6.0,0.0,NA,NA,30,0,0
Codec,11,20%,STARTS,0.15789473684210528,6.0,0.21447368421052634,NA,NA,23,0,7
Codec,11,20%,STARTS+FAST-S,0.15789473684210528,6.0,0.09692982456140352,NA,NA,27,0,3
Codec,11,20%,STARTS+FAST-P,0.15789473684210528,6.0,0.0649122807017544,NA,NA,28,0,2
Codec,11,20%,STARTS+DPT,0.15789473684210528,6.0,0.0,NA,NA,30,0,0
Codec,11,20%,Fastazi-S,0.15789473684210528,6.0,0.0,NA,NA,30,0,0
Codec,11,20%,Fastazi-P,0.15789473684210528,6.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,20%,Random,0.15789473684210528,6.0,0.18333333333333338,NA,NA,24,0,6
Codec,11,25%,Ekstazi,0.21052631578947353,8.0,0.20833333333333337,NA,NA,23,0,7
Codec,11,25%,FAST,0.21052631578947353,8.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,25%,Ekstazi+dpt,0.21052631578947353,8.0,0.0,NA,NA,30,0,0
Codec,11,25%,DPT,0.21052631578947353,8.0,0.0,NA,NA,30,0,0
Codec,11,25%,STARTS,0.21052631578947353,8.0,0.268859649122807,NA,NA,21,0,9
Codec,11,25%,STARTS+FAST-S,0.21052631578947353,8.0,0.09692982456140352,NA,NA,27,0,3
Codec,11,25%,STARTS+FAST-P,0.21052631578947353,8.0,0.0649122807017544,NA,NA,28,0,2
Codec,11,25%,STARTS+DPT,0.21052631578947353,8.0,0.0,NA,NA,30,0,0
