Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Codec,11,1,Ekstazi,34,0.8815789473684211,5,0.13157894736842105
Codec,11,1,FAST,38,0.013157894736842105,38,1.0
Codec,11,1,Ekstazi+dpt,34,0.4605263157894736,21,0.5526315789473685
Codec,11,1,DPT,38,0.40789473684210525,23,0.6052631578947368
Codec,11,1,STARTS,34,0.5657894736842105,17,0.4473684210526316
Codec,11,1,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,1,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,1,STARTS+DPT,34,0.4605263157894736,21,0.5526315789473685
Codec,11,1,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,1,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,1,Random,38,0.6973684210526316,12,0.3157894736842105
Codec,11,2,Ekstazi,34,0.8552631578947368,6,0.15789473684210525
Codec,11,2,FAST,38,0.013157894736842105,38,1.0
Codec,11,2,Ekstazi+dpt,34,0.4868421052631579,20,0.5263157894736842
Codec,11,2,DPT,38,0.4605263157894736,21,0.5526315789473685
Codec,11,2,STARTS,34,0.27631578947368424,28,0.7368421052631579
Codec,11,2,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,2,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,2,STARTS+DPT,34,0.4868421052631579,20,0.5263157894736842
Codec,11,2,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,2,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,2,Random,38,0.9078947368421053,4,0.10526315789473684
Codec,11,3,Ekstazi,34,0.43421052631578944,22,0.5789473684210527
Codec,11,3,FAST,38,0.013157894736842105,38,1.0
Codec,11,3,Ekstazi+dpt,34,0.4605263157894736,21,0.5526315789473685
Codec,11,3,DPT,38,0.4868421052631579,20,0.5263157894736842
Codec,11,3,STARTS,34,0.7763157894736843,9,0.23684210526315788
Codec,11,3,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,3,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,3,STARTS+DPT,34,0.4868421052631579,20,0.5263157894736842
Codec,11,3,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,3,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,3,Random,38,0.8026315789473685,8,0.21052631578947367
Codec,11,4,Ekstazi,34,0.4868421052631579,20,0.5263157894736842
Codec,11,4,FAST,38,0.013157894736842105,38,1.0
Codec,11,4,Ekstazi+dpt,34,0.4868421052631579,20,0.5263157894736842
Codec,11,4,DPT,38,0.4868421052631579,20,0.5263157894736842
Codec,11,4,STARTS,34,0.8552631578947368,6,0.15789473684210525
Codec,11,4,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,4,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,4,STARTS+DPT,34,0.43421052631578944,22,0.5789473684210527
Codec,11,4,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,4,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,4,Random,38,0.4868421052631579,20,0.5263157894736842
Codec,11,5,Ekstazi,34,0.6710526315789475,13,0.34210526315789475
Codec,11,5,FAST,38,0.013157894736842105,38,1.0
Codec,11,5,Ekstazi+dpt,34,0.4605263157894736,21,0.5526315789473685
Codec,11,5,DPT,38,0.4868421052631579,20,0.5263157894736842
Codec,11,5,STARTS,34,0.7763157894736843,9,0.23684210526315788
Codec,11,5,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,5,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,5,STARTS+DPT,34,0.43421052631578944,22,0.5789473684210527
Codec,11,5,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,5,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,5,Random,38,0.06578947368421058,36,0.9473684210526315
Codec,11,6,Ekstazi,34,0.6447368421052632,14,0.3684210526315789
Codec,11,6,FAST,38,0.013157894736842105,38,1.0
Codec,11,6,Ekstazi+dpt,34,0.43421052631578944,22,0.5789473684210527
Codec,11,6,DPT,38,0.4868421052631579,20,0.5263157894736842
Codec,11,6,STARTS,34,0.8815789473684211,5,0.13157894736842105
Codec,11,6,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,6,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,6,STARTS+DPT,34,0.4868421052631579,20,0.5263157894736842
Codec,11,6,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,6,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,6,Random,38,0.7763157894736843,9,0.23684210526315788
Codec,11,7,Ekstazi,34,0.6710526315789475,13,0.34210526315789475
Codec,11,7,FAST,38,0.013157894736842105,38,1.0
Codec,11,7,Ekstazi+dpt,34,0.4605263157894736,21,0.5526315789473685
Codec,11,7,DPT,38,0.43421052631578944,22,0.5789473684210527
Codec,11,7,STARTS,34,0.3552631578947368,25,0.6578947368421053
Codec,11,7,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,7,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,7,STARTS+DPT,34,0.4605263157894736,21,0.5526315789473685
Codec,11,7,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,7,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,7,Random,38,0.7763157894736843,9,0.23684210526315788
Codec,11,8,Ekstazi,34,0.5921052631578948,16,0.42105263157894735
Codec,11,8,FAST,38,0.013157894736842105,38,1.0
Codec,11,8,Ekstazi+dpt,34,0.43421052631578944,22,0.5789473684210527
Codec,11,8,DPT,38,0.4868421052631579,20,0.5263157894736842
Codec,11,8,STARTS,34,0.6973684210526316,12,0.3157894736842105
Codec,11,8,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,8,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,8,STARTS+DPT,34,0.40789473684210525,23,0.6052631578947368
Codec,11,8,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,8,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,8,Random,38,0.6973684210526316,12,0.3157894736842105
Codec,11,9,Ekstazi,34,0.8552631578947368,6,0.15789473684210525
Codec,11,9,FAST,38,0.013157894736842105,38,1.0
Codec,11,9,Ekstazi+dpt,34,0.43421052631578944,22,0.5789473684210527
Codec,11,9,DPT,38,0.4868421052631579,20,0.5263157894736842
Codec,11,9,STARTS,34,0.4605263157894736,21,0.5526315789473685
Codec,11,9,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,9,STARTS+FAST-P,34,0.22368421052631576,30,0.7894736842105263
Codec,11,9,STARTS+DPT,34,0.4868421052631579,20,0.5263157894736842
Codec,11,9,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,9,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,9,Random,38,0.5657894736842105,17,0.4473684210526316
Codec,11,10,Ekstazi,34,0.5657894736842105,17,0.4473684210526316
Codec,11,10,FAST,38,0.013157894736842105,38,1.0
Codec,11,10,Ekstazi+dpt,34,0.43421052631578944,22,0.5789473684210527
Codec,11,10,DPT,38,0.40789473684210525,23,0.6052631578947368
Codec,11,10,STARTS,34,0.986842105263158,1,0.02631578947368421
Codec,11,10,STARTS+FAST-S,34,0.24999999999999994,29,0.7631578947368421
Codec,11,10,STARTS+FAST-P,34,0.24999999999999994,29,0.7631578947368421
Codec,11,10,STARTS+DPT,34,0.43421052631578944,22,0.5789473684210527
Codec,11,10,Fastazi-S,34,0.11842105263157894,34,0.8947368421052632
Codec,11,10,Fastazi-P,34,0.11842105263157894,34,0.8947368421052632
Codec,11,10,Random,38,0.9342105263157895,3,0.07894736842105263
Codec,11,11,Ekstazi,34,0.3815789473684211,24,0.631578947368421
Codec,11,11,FAST,38,0.013157894736842105,38,1.0
Codec,11,11,Ekstazi+dpt,34,0.40789473684210525,23,0.6052631578947368
Codec,11,11,DPT,38,0.40789473684210525,23,0.6052631578947368
Codec,11,11,STARTS,34,0.6710526315789475,13,0.34210526315789475
