Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Collections,25,1,10%,Ekstazi,19,0.9768041237113402,5,0.02577319587628866
Collections,25,1,10%,FAST,19,0.0,NA,NA
Collections,25,1,10%,Ekstazi+dpt,19,0.9664948453608248,7,0.03608247422680412
Collections,25,1,10%,DPT,19,0.9664948453608248,7,0.03608247422680412
Collections,25,1,10%,STARTS,19,0.0,NA,NA
Collections,25,1,10%,STARTS+FAST-S,19,0.0,NA,NA
Collections,25,1,10%,STARTS+FAST-P,19,0.0,NA,NA
Collections,25,1,10%,STARTS+DPT,19,0.9664948453608248,7,0.03608247422680412
Collections,25,1,10%,Fastazi-S,19,0.0,NA,NA
Collections,25,1,10%,Fastazi-P,19,0.0,NA,NA
Collections,25,1,10%,Random,19,0.0,NA,NA
Collections,25,1,20%,Ekstazi,38,0.9768041237113402,5,0.02577319587628866
Collections,25,1,20%,FAST,38,0.0,NA,NA
Collections,25,1,20%,Ekstazi+dpt,38,0.9664948453608248,7,0.03608247422680412
Collections,25,1,20%,DPT,38,0.9664948453608248,7,0.03608247422680412
Collections,25,1,20%,STARTS,38,0.0,NA,NA
Collections,25,1,20%,STARTS+FAST-S,38,0.0,NA,NA
Collections,25,1,20%,STARTS+FAST-P,38,0.0,NA,NA
Collections,25,1,20%,STARTS+DPT,38,0.9664948453608248,7,0.03608247422680412
Collections,25,1,20%,Fastazi-S,38,0.0,NA,NA
Collections,25,1,20%,Fastazi-P,38,0.0,NA,NA
Collections,25,1,20%,Random,38,0.0,NA,NA
Collections,25,1,25%,Ekstazi,48,0.9768041237113402,5,0.02577319587628866
Collections,25,1,25%,FAST,48,0.0,NA,NA
Collections,25,1,25%,Ekstazi+dpt,48,0.9664948453608248,7,0.03608247422680412
Collections,25,1,25%,DPT,48,0.9664948453608248,7,0.03608247422680412
Collections,25,1,25%,STARTS,48,0.0,NA,NA
Collections,25,1,25%,STARTS+FAST-S,48,0.0,NA,NA
Collections,25,1,25%,STARTS+FAST-P,48,0.0,NA,NA
Collections,25,1,25%,STARTS+DPT,48,0.9664948453608248,7,0.03608247422680412
Collections,25,1,25%,Fastazi-S,48,0.0,NA,NA
Collections,25,1,25%,Fastazi-P,48,0.0,NA,NA
Collections,25,1,25%,Random,48,0.0,NA,NA
Collections,25,1,30%,Ekstazi,58,0.9768041237113402,5,0.02577319587628866
Collections,25,1,30%,FAST,58,0.0,NA,NA
Collections,25,1,30%,Ekstazi+dpt,58,0.9664948453608248,7,0.03608247422680412
Collections,25,1,30%,DPT,58,0.9664948453608248,7,0.03608247422680412
Collections,25,1,30%,STARTS,58,0.0,NA,NA
Collections,25,1,30%,STARTS+FAST-S,58,0.0,NA,NA
Collections,25,1,30%,STARTS+FAST-P,58,0.0,NA,NA
Collections,25,1,30%,STARTS+DPT,58,0.9664948453608248,7,0.03608247422680412
Collections,25,1,30%,Fastazi-S,58,0.0,NA,NA
Collections,25,1,30%,Fastazi-P,58,0.0,NA,NA
Collections,25,1,30%,Random,58,0.0,NA,NA
Collections,25,1,40%,Ekstazi,77,0.9768041237113402,5,0.02577319587628866
Collections,25,1,40%,FAST,77,0.0,NA,NA
Collections,25,1,40%,Ekstazi+dpt,77,0.9664948453608248,7,0.03608247422680412
Collections,25,1,40%,DPT,77,0.9664948453608248,7,0.03608247422680412
Collections,25,1,40%,STARTS,77,0.0,NA,NA
Collections,25,1,40%,STARTS+FAST-S,77,0.0,NA,NA
Collections,25,1,40%,STARTS+FAST-P,77,0.0,NA,NA
Collections,25,1,40%,STARTS+DPT,77,0.9664948453608248,7,0.03608247422680412
Collections,25,1,40%,Fastazi-S,77,0.0,NA,NA
Collections,25,1,40%,Fastazi-P,77,0.0,NA,NA
Collections,25,1,40%,Random,77,0.0,NA,NA
Collections,25,1,50%,Ekstazi,97,0.9768041237113402,5,0.02577319587628866
Collections,25,1,50%,FAST,97,0.0,NA,NA
Collections,25,1,50%,Ekstazi+dpt,97,0.9664948453608248,7,0.03608247422680412
Collections,25,1,50%,DPT,97,0.9664948453608248,7,0.03608247422680412
Collections,25,1,50%,STARTS,97,0.0,NA,NA
Collections,25,1,50%,STARTS+FAST-S,97,0.0,NA,NA
Collections,25,1,50%,STARTS+FAST-P,97,0.0,NA,NA
Collections,25,1,50%,STARTS+DPT,97,0.9664948453608248,7,0.03608247422680412
Collections,25,1,50%,Fastazi-S,97,0.0,NA,NA
Collections,25,1,50%,Fastazi-P,97,0.0,NA,NA
Collections,25,1,50%,Random,97,0.5025773195876289,97,0.5
