Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Collections,25,10%,Ekstazi,0.07731958762886597,15.0,0.09647766323024057,NA,NA,27,0,3
Collections,25,10%,FAST,0.07731958762886597,15.0,0.0,NA,NA,30,0,0
Collections,25,10%,Ekstazi+dpt,0.07731958762886597,15.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,10%,DPT,0.07731958762886597,15.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,10%,STARTS,0.07731958762886597,15.0,0.09785223367697596,NA,NA,27,0,3
Collections,25,10%,STARTS+FAST-S,0.07731958762886597,15.0,0.0,NA,NA,30,0,0
Collections,25,10%,STARTS+FAST-P,0.07731958762886597,15.0,0.0,NA,NA,30,0,0
Collections,25,10%,STARTS+DPT,0.07731958762886597,15.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,10%,Fastazi-S,0.07731958762886597,15.0,0.0,NA,NA,30,0,0
Collections,25,10%,Fastazi-P,0.07731958762886597,15.0,0.0,NA,NA,30,0,0
Collections,25,10%,Random,0.07731958762886597,15.0,0.03221649484536083,NA,NA,29,0,1
Collections,25,20%,Ekstazi,0.15979381443298965,31.0,0.12594501718213058,NA,NA,26,0,4
Collections,25,20%,FAST,0.15979381443298965,31.0,0.0,NA,NA,30,0,0
Collections,25,20%,Ekstazi+dpt,0.15979381443298965,31.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,20%,DPT,0.15979381443298965,31.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,20%,STARTS,0.15979381443298965,31.0,0.18728522336769757,NA,NA,24,0,6
Collections,25,20%,STARTS+FAST-S,0.15979381443298965,31.0,0.0,NA,NA,30,0,0
Collections,25,20%,STARTS+FAST-P,0.15979381443298965,31.0,0.0,NA,NA,30,0,0
Collections,25,20%,STARTS+DPT,0.15979381443298965,31.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,20%,Fastazi-S,0.15979381443298965,31.0,0.0,NA,NA,30,0,0
Collections,25,20%,Fastazi-P,0.15979381443298965,31.0,0.0,NA,NA,30,0,0
Collections,25,20%,Random,0.15979381443298965,31.0,0.09149484536082474,NA,NA,27,0,3
Collections,25,25%,Ekstazi,0.20103092783505166,39.0,0.15317869415807558,NA,NA,25,0,5
Collections,25,25%,FAST,0.20103092783505166,39.0,0.0,NA,NA,30,0,0
Collections,25,25%,Ekstazi+dpt,0.20103092783505166,39.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,25%,DPT,0.20103092783505166,39.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,25%,STARTS,0.20103092783505166,39.0,0.24261168384879725,NA,NA,22,0,8
Collections,25,25%,STARTS+FAST-S,0.20103092783505166,39.0,0.0,NA,NA,30,0,0
Collections,25,25%,STARTS+FAST-P,0.20103092783505166,39.0,0.0,NA,NA,30,0,0
Collections,25,25%,STARTS+DPT,0.20103092783505166,39.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,25%,Fastazi-S,0.20103092783505166,39.0,0.0,NA,NA,30,0,0
Collections,25,25%,Fastazi-P,0.20103092783505166,39.0,0.0,NA,NA,30,0,0
Collections,25,25%,Random,0.20103092783505166,39.0,0.14596219931271476,NA,NA,25,0,5
Collections,25,30%,Ekstazi,0.2422680412371134,47.0,0.23127147766323022,NA,NA,22,0,8
Collections,25,30%,FAST,0.2422680412371134,47.0,0.0,NA,NA,30,0,0
Collections,25,30%,Ekstazi+dpt,0.2422680412371134,47.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
Collections,25,30%,DPT,0.2422680412371134,47.0,0.9664948453608242,7.0,0.03608247422680412,0,1,30
