Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Collections,25,1,10%,Ekstazi,15,0.9768041237113402,5,0.02577319587628866
Collections,25,1,10%,FAST,15,0.0,NA,NA
Collections,25,1,10%,Ekstazi+dpt,15,0.9664948453608248,7,0.03608247422680412
Collections,25,1,10%,DPT,15,0.9664948453608248,7,0.03608247422680412
Collections,25,1,10%,STARTS,15,0.0,NA,NA
Collections,25,1,10%,STARTS+FAST-S,15,0.0,NA,NA
Collections,25,1,10%,STARTS+FAST-P,15,0.0,NA,NA
Collections,25,1,10%,STARTS+DPT,15,0.9664948453608248,7,0.03608247422680412
Collections,25,1,10%,Fastazi-S,15,0.0,NA,NA
Collections,25,1,10%,Fastazi-P,15,0.0,NA,NA
Collections,25,1,10%,Random,15,0.0,NA,NA
Collections,25,1,20%,Ekstazi,31,0.9768041237113402,5,0.02577319587628866
Collections,25,1,20%,FAST,31,0.0,NA,NA
Collections,25,1,20%,Ekstazi+dpt,31,0.9664948453608248,7,0.03608247422680412
Collections,25,1,20%,DPT,31,0.9664948453608248,7,0.03608247422680412
Collections,25,1,20%,STARTS,31,0.0,NA,NA
Collections,25,1,20%,STARTS+FAST-S,31,0.0,NA,NA
Collections,25,1,20%,STARTS+FAST-P,31,0.0,NA,NA
Collections,25,1,20%,STARTS+DPT,31,0.9664948453608248,7,0.03608247422680412
Collections,25,1,20%,Fastazi-S,31,0.0,NA,NA
Collections,25,1,20%,Fastazi-P,31,0.0,NA,NA
Collections,25,1,20%,Random,31,0.0,NA,NA
Collections,25,1,25%,Ekstazi,39,0.9768041237113402,5,0.02577319587628866
Collections,25,1,25%,FAST,39,0.0,NA,NA
Collections,25,1,25%,Ekstazi+dpt,39,0.9664948453608248,7,0.03608247422680412
Collections,25,1,25%,DPT,39,0.9664948453608248,7,0.03608247422680412
Collections,25,1,25%,STARTS,39,0.0,NA,NA
Collections,25,1,25%,STARTS+FAST-S,39,0.0,NA,NA
Collections,25,1,25%,STARTS+FAST-P,39,0.0,NA,NA
Collections,25,1,25%,STARTS+DPT,39,0.9664948453608248,7,0.03608247422680412
Collections,25,1,25%,Fastazi-S,39,0.0,NA,NA
Collections,25,1,25%,Fastazi-P,39,0.0,NA,NA
Collections,25,1,25%,Random,39,0.0,NA,NA
Collections,25,1,30%,Ekstazi,47,0.9768041237113402,5,0.02577319587628866
Collections,25,1,30%,FAST,47,0.0,NA,NA
Collections,25,1,30%,Ekstazi+dpt,47,0.9664948453608248,7,0.03608247422680412
Collections,25,1,30%,DPT,47,0.9664948453608248,7,0.03608247422680412
Collections,25,1,30%,STARTS,47,0.0,NA,NA
Collections,25,1,30%,STARTS+FAST-S,47,0.0,NA,NA
Collections,25,1,30%,STARTS+FAST-P,47,0.0,NA,NA
Collections,25,1,30%,STARTS+DPT,47,0.9664948453608248,7,0.03608247422680412
Collections,25,1,30%,Fastazi-S,47,0.0,NA,NA
Collections,25,1,30%,Fastazi-P,47,0.0,NA,NA
