Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Collections,25,1,Ekstazi,157,0.9768041237113402,5,0.02577319587628866
Collections,25,1,FAST,194,0.13659793814432986,168,0.865979381443299
Collections,25,1,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,1,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,1,STARTS,157,0.4871134020618557,100,0.5154639175257731
Collections,25,1,STARTS+FAST-S,157,0.40463917525773196,116,0.5979381443298969
Collections,25,1,STARTS+FAST-P,157,0.40463917525773196,116,0.5979381443298969
Collections,25,1,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,1,Fastazi-S,157,0.33247422680412375,130,0.6701030927835051
Collections,25,1,Fastazi-P,157,0.30154639175257736,136,0.7010309278350515
Collections,25,1,Random,194,0.5025773195876289,97,0.5
Collections,25,2,Ekstazi,157,0.44072164948453607,109,0.5618556701030928
Collections,25,2,FAST,194,0.13659793814432986,168,0.865979381443299
Collections,25,2,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,2,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,2,STARTS,157,0.8221649484536082,35,0.18041237113402062
Collections,25,2,STARTS+FAST-S,157,0.40463917525773196,116,0.5979381443298969
Collections,25,2,STARTS+FAST-P,157,0.4097938144329897,115,0.5927835051546392
Collections,25,2,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,2,Fastazi-S,157,0.33247422680412375,130,0.6701030927835051
Collections,25,2,Fastazi-P,157,0.30154639175257736,136,0.7010309278350515
Collections,25,2,Random,194,0.018041237113402008,191,0.9845360824742269
Collections,25,3,Ekstazi,157,0.7757731958762887,44,0.2268041237113402
Collections,25,3,FAST,194,0.13659793814432986,168,0.865979381443299
Collections,25,3,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,3,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,3,STARTS,157,0.25,146,0.7525773195876289
Collections,25,3,STARTS+FAST-S,157,0.40463917525773196,116,0.5979381443298969
Collections,25,3,STARTS+FAST-P,157,0.40463917525773196,116,0.5979381443298969
Collections,25,3,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,3,Fastazi-S,157,0.33762886597938147,129,0.6649484536082474
Collections,25,3,Fastazi-P,157,0.30154639175257736,136,0.7010309278350515
Collections,25,3,Random,194,0.043814432989690684,186,0.9587628865979382
Collections,25,4,Ekstazi,157,0.3427835051546392,128,0.6597938144329897
Collections,25,4,FAST,194,0.09536082474226805,176,0.9072164948453608
Collections,25,4,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,4,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,4,STARTS,157,0.7448453608247423,50,0.25773195876288657
Collections,25,4,STARTS+FAST-S,157,0.4097938144329897,115,0.5927835051546392
Collections,25,4,STARTS+FAST-P,157,0.4097938144329897,115,0.5927835051546392
Collections,25,4,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,4,Fastazi-S,157,0.33247422680412375,130,0.6701030927835051
Collections,25,4,Fastazi-P,157,0.2603092783505154,144,0.7422680412371134
Collections,25,4,Random,194,0.8891752577319587,22,0.1134020618556701
Collections,25,5,Ekstazi,157,0.20360824742268036,155,0.7989690721649485
Collections,25,5,FAST,194,0.13659793814432986,168,0.865979381443299
Collections,25,5,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,5,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,5,STARTS,157,0.19845360824742264,156,0.8041237113402062
Collections,25,5,STARTS+FAST-S,157,0.4097938144329897,115,0.5927835051546392
Collections,25,5,STARTS+FAST-P,157,0.4097938144329897,115,0.5927835051546392
Collections,25,5,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,5,Fastazi-S,157,0.33247422680412375,130,0.6701030927835051
Collections,25,5,Fastazi-P,157,0.30154639175257736,136,0.7010309278350515
Collections,25,5,Random,194,0.23453608247422675,149,0.7680412371134021
Collections,25,6,Ekstazi,157,0.7757731958762887,44,0.2268041237113402
Collections,25,6,FAST,194,0.09536082474226805,176,0.9072164948453608
Collections,25,6,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,6,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,6,STARTS,157,0.6675257731958764,65,0.33505154639175255
Collections,25,6,STARTS+FAST-S,157,0.4097938144329897,115,0.5927835051546392
Collections,25,6,STARTS+FAST-P,157,0.4097938144329897,115,0.5927835051546392
Collections,25,6,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,6,Fastazi-S,157,0.44072164948453607,109,0.5618556701030928
Collections,25,6,Fastazi-P,157,0.26546391752577314,143,0.7371134020618557
Collections,25,6,Random,194,0.39948453608247425,117,0.6030927835051546
Collections,25,7,Ekstazi,157,0.6211340206185567,74,0.38144329896907214
Collections,25,7,FAST,194,0.13659793814432986,168,0.865979381443299
Collections,25,7,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,7,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,7,STARTS,157,0.3479381443298969,127,0.654639175257732
Collections,25,7,STARTS+FAST-S,157,0.4097938144329897,115,0.5927835051546392
Collections,25,7,STARTS+FAST-P,157,0.4097938144329897,115,0.5927835051546392
Collections,25,7,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
