Project, Version, Suite, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Compress,9,Ekstazi,44.0,0.5188405797101451,22.633333333333333,0.49202898550724644,0,1,30
Compress,9,FAST,46.0,0.4521739130434785,25.7,0.5586956521739131,0,1,30
Compress,9,Ekstazi+dpt,44.0,0.48043478260869577,24.4,0.5304347826086955,0,1,30
Compress,9,DPT,46.0,0.4760869565217393,24.6,0.5347826086956521,0,1,30
Compress,9,STARTS,46.0,0.5282608695652173,22.2,0.48260869565217396,0,1,30
Compress,9,STARTS+FAST-S,46.0,0.4760869565217391,24.6,0.5347826086956521,0,1,30
Compress,9,STARTS+FAST-P,46.0,0.4782608695652174,24.5,0.5326086956521737,0,1,30
Compress,9,STARTS+DPT,46.0,0.4775362318840581,24.533333333333335,0.5333333333333332,0,1,30
Compress,9,Fastazi-S,44.0,0.4579710144927536,25.433333333333334,0.5528985507246376,0,1,30
Compress,9,Fastazi-P,44.0,0.47463768115942023,24.666666666666668,0.5362318840579708,0,1,30
Compress,9,Random,46.0,0.6188405797101451,18.033333333333335,0.39202898550724635,0,1,30
Compress,10,Ekstazi,33.0,0.6512345679012346,19.333333333333332,0.35802469135802467,0,1,30
Compress,10,FAST,54.0,0.5777777777777778,23.3,0.4314814814814817,0,1,30
Compress,10,Ekstazi+dpt,33.0,0.9166666666666671,5.0,0.09259259259259257,0,1,30
Compress,10,DPT,54.0,0.9166666666666671,5.0,0.09259259259259257,0,1,30
Compress,10,STARTS,43.0,0.5611111111111111,24.2,0.4481481481481481,0,1,30
Compress,10,STARTS+FAST-S,43.0,0.8240740740740737,10.0,0.18518518518518515,0,1,30
Compress,10,STARTS+FAST-P,43.0,0.7993827160493827,11.333333333333334,0.2098765432098766,0,1,30
Compress,10,STARTS+DPT,43.0,0.9166666666666671,5.0,0.09259259259259257,0,1,30
Compress,10,Fastazi-S,33.0,0.6086419753086417,21.633333333333333,0.4006172839506171,0,1,30
Compress,10,Fastazi-P,33.0,0.7074074074074073,16.3,0.30185185185185187,0,1,30
Compress,10,Random,54.0,0.4197530864197532,31.833333333333332,0.5895061728395063,0,1,30
Compress,11,Ekstazi,35.0,0.6571428571428569,19.7,0.3517857142857142,0,1,30
Compress,11,FAST,56.0,0.892261904761905,6.533333333333333,0.11666666666666668,0,1,30
Compress,11,Ekstazi+dpt,35.0,0.5821428571428572,23.9,0.4267857142857144,0,1,30
Compress,11,DPT,56.0,0.5625,25.0,0.44642857142857134,0,1,30
Compress,11,STARTS,37.0,0.6904761904761905,17.833333333333332,0.31845238095238104,0,1,30
Compress,11,STARTS+FAST-S,37.0,0.5249999999999997,27.1,0.4839285714285716,0,1,30
Compress,11,STARTS+FAST-P,37.0,0.5071428571428569,28.1,0.5017857142857144,0,1,30
Compress,11,STARTS+DPT,37.0,0.5767857142857142,24.2,0.43214285714285716,0,1,30
Compress,11,Fastazi-S,35.0,0.9196428571428574,5.0,0.08928571428571429,0,1,30
Compress,11,Fastazi-P,35.0,0.9309523809523808,4.366666666666666,0.07797619047619046,0,1,30
Compress,11,Random,56.0,0.5041666666666667,28.266666666666666,0.5047619047619049,0,1,30
Compress,12,Ekstazi,12.0,0.9059523809523807,5.766666666666667,0.10297619047619049,0,1,30
Compress,12,FAST,56.0,0.9392857142857144,3.9,0.06964285714285713,0,1,30
Compress,12,Ekstazi+dpt,12.0,0.8934523809523813,6.466666666666667,0.1154761904761905,0,1,30
Compress,12,DPT,56.0,0.630952380952381,21.166666666666668,0.3779761904761905,0,1,30
Compress,12,STARTS,34.0,0.6601190476190476,19.533333333333335,0.34880952380952374,0,1,30
Compress,12,STARTS+FAST-S,34.0,0.8035714285714286,11.5,0.20535714285714282,0,1,30
Compress,12,STARTS+FAST-P,34.0,0.8184523809523809,10.666666666666666,0.1904761904761905,0,1,30
Compress,12,STARTS+DPT,34.0,0.700595238095238,17.266666666666666,0.30833333333333335,0,1,30
Compress,12,Fastazi-S,12.0,0.9583333333333329,2.8333333333333335,0.05059523809523811,0,1,30
Compress,12,Fastazi-P,12.0,0.9726190476190474,2.033333333333333,0.0363095238095238,0,1,30
Compress,12,Random,56.0,0.4613095238095238,30.666666666666668,0.5476190476190476,0,1,30
Compress,13,Ekstazi,22.0,0.8736842105263157,7.7,0.13508771929824562,0,1,30
Compress,13,FAST,57.0,0.9573099415204676,2.933333333333333,0.05146198830409354,0,1,30
Compress,13,Ekstazi+dpt,22.0,0.8508771929824557,9.0,0.15789473684210528,0,1,30
Compress,13,DPT,57.0,0.8333333333333331,10.0,0.17543859649122803,0,1,30
Compress,13,STARTS,40.0,0.7713450292397662,13.533333333333333,0.2374269005847953,0,1,30
Compress,13,STARTS+FAST-S,40.0,0.9473684210526311,3.5,0.0614035087719298,0,1,30
Compress,13,STARTS+FAST-P,40.0,0.9549707602339178,3.066666666666667,0.053801169590643266,0,1,30
Compress,13,STARTS+DPT,40.0,0.8333333333333331,10.0,0.17543859649122803,0,1,30
Compress,13,Fastazi-S,22.0,0.9549707602339179,3.066666666666667,0.05380116959064326,0,1,30
Compress,13,Fastazi-P,22.0,0.9695906432748534,2.2333333333333334,0.03918128654970759,0,1,30
Compress,13,Random,57.0,0.6274853801169591,21.733333333333334,0.38128654970760234,0,1,30
Compress,14,Ekstazi,11.0,0.9081871345029238,5.733333333333333,0.10058479532163744,0,1,30
Compress,14,FAST,57.0,0.9210526315789477,5.0,0.08771929824561402,0,1,30
Compress,14,Ekstazi+dpt,11.0,0.8432748538011692,9.433333333333334,0.16549707602339184,0,1,30
Compress,14,DPT,57.0,0.39064327485380124,35.233333333333334,0.6181286549707602,0,1,30
Compress,14,STARTS,34.0,0.7403508771929824,15.3,0.26842105263157895,0,1,30
Compress,14,STARTS+FAST-S,34.0,0.8432748538011694,9.433333333333334,0.16549707602339184,0,1,30
Compress,14,STARTS+FAST-P,34.0,0.8456140350877189,9.3,0.1631578947368421,0,1,30
Compress,14,STARTS+DPT,34.0,0.5269005847953221,27.466666666666665,0.48187134502923956,0,1,30
Compress,14,Fastazi-S,11.0,0.9561403508771924,3.0,0.0526315789473684,0,1,30
Compress,14,Fastazi-P,11.0,0.9701754385964908,2.2,0.03859649122807019,0,1,30
Compress,14,Random,57.0,0.5350877192982455,27.0,0.4736842105263157,0,1,30
Compress,15,Ekstazi,41.0,0.6847457627118646,19.1,0.323728813559322,0,1,30
Compress,15,FAST,59.0,0.05649717514124288,56.166666666666664,0.951977401129943,0,1,30
Compress,15,Ekstazi+dpt,41.0,0.7203389830508476,17.0,0.28813559322033905,0,1,30
Compress,15,DPT,59.0,0.7203389830508476,17.0,0.28813559322033905,0,1,30
Compress,15,STARTS,45.0,0.6994350282485876,18.233333333333334,0.30903954802259886,0,1,30
Compress,15,STARTS+FAST-S,45.0,0.3288135593220341,40.1,0.6796610169491523,0,1,30
Compress,15,STARTS+FAST-P,45.0,0.35197740112994375,38.733333333333334,0.6564971751412426,0,1,30
Compress,15,STARTS+DPT,45.0,0.7203389830508476,17.0,0.28813559322033905,0,1,30
Compress,15,Fastazi-S,41.0,0.33050847457627147,40.0,0.6779661016949149,0,1,30
Compress,15,Fastazi-P,41.0,0.3514124293785313,38.766666666666666,0.6570621468926551,0,1,30
Compress,15,Random,59.0,0.4751412429378531,31.466666666666665,0.5333333333333334,0,1,30
Compress,16,Ekstazi,37.0,0.6728813559322033,19.8,0.33559322033898303,0,1,30
Compress,16,FAST,59.0,0.9333333333333336,4.433333333333334,0.0751412429378531,0,1,30
Compress,16,Ekstazi+dpt,37.0,0.7372881355932205,16.0,0.2711864406779662,0,1,30
Compress,16,DPT,59.0,0.7288135593220342,16.5,0.2796610169491526,0,1,30
Compress,16,STARTS,40.0,0.6084745762711864,23.6,0.4,0,1,30
Compress,16,STARTS+FAST-S,40.0,0.4175141242937854,34.86666666666667,0.5909604519774011,0,1,30
Compress,16,STARTS+FAST-P,40.0,0.39491525423728824,36.2,0.6135593220338982,0,1,30
Compress,16,STARTS+DPT,40.0,0.7305084745762713,16.4,0.27796610169491537,0,1,30
Compress,16,Fastazi-S,37.0,0.9423728813559326,3.9,0.06610169491525426,0,1,30
Compress,16,Fastazi-P,37.0,0.9491525423728818,3.5,0.059322033898305114,0,1,30
Compress,16,Random,59.0,0.4610169491525424,32.3,0.5474576271186442,0,1,30
Compress,17,Ekstazi,40.0,0.689265536723164,18.833333333333332,0.3192090395480226,0,1,30
Compress,17,FAST,59.0,0.8977401129943501,6.533333333333333,0.1107344632768362,0,1,30
Compress,17,Ekstazi+dpt,40.0,0.5,30.0,0.5084745762711864,0,1,30
Compress,17,DPT,59.0,0.5016949152542373,29.9,0.506779661016949,0,1,30
Compress,17,STARTS,42.0,0.6689265536723163,20.033333333333335,0.33954802259887,0,1,30
Compress,17,STARTS+FAST-S,42.0,0.8881355932203389,7.1,0.12033898305084748,0,1,30
Compress,17,STARTS+FAST-P,42.0,0.8920903954802262,6.866666666666666,0.11638418079096048,0,1,30
Compress,17,STARTS+DPT,42.0,0.5005649717514123,29.966666666666665,0.5079096045197738,0,1,30
Compress,17,Fastazi-S,40.0,0.9056497175141244,6.066666666666666,0.10282485875706218,0,1,30
Compress,17,Fastazi-P,40.0,0.9045197740112992,6.133333333333334,0.10395480225988703,0,1,30
Compress,17,Random,59.0,0.47853107344632756,31.266666666666666,0.5299435028248588,0,1,30
Compress,18,Ekstazi,28.0,0.7757062146892655,13.733333333333333,0.23276836158192088,0,1,30
Compress,18,FAST,59.0,0.8706214689265541,8.133333333333333,0.13785310734463282,0,1,30
Compress,18,Ekstazi+dpt,28.0,0.6694915254237288,20.0,0.33898305084745745,0,1,30
Compress,18,DPT,59.0,0.6525423728813563,21.0,0.3559322033898305,0,1,30
Compress,18,STARTS,42.0,0.6344632768361582,22.066666666666666,0.37401129943502814,0,1,30
Compress,18,STARTS+FAST-S,42.0,0.6519774011299436,21.033333333333335,0.3564971751412429,0,1,30
Compress,18,STARTS+FAST-P,42.0,0.6531073446327684,20.966666666666665,0.35536723163841805,0,1,30
Compress,18,STARTS+DPT,42.0,0.6525423728813563,21.0,0.3559322033898305,0,1,30
