Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Compress,9,10%,Ekstazi,0.08695652173913039,4.0,0.0960144927536232,NA,NA,27,0,3
Compress,9,10%,FAST,0.08695652173913039,4.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,10%,Ekstazi+dpt,0.08695652173913039,4.0,0.0,NA,NA,30,0,0
Compress,9,10%,DPT,0.08695652173913039,4.0,0.0,NA,NA,30,0,0
Compress,9,10%,STARTS,0.08695652173913039,4.0,0.12753623188405797,NA,NA,26,0,4
Compress,9,10%,STARTS+FAST-S,0.08695652173913039,4.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,10%,STARTS+FAST-P,0.08695652173913039,4.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,10%,STARTS+DPT,0.08695652173913039,4.0,0.0,NA,NA,30,0,0
Compress,9,10%,Fastazi-S,0.08695652173913039,4.0,0.0,NA,NA,30,0,0
Compress,9,10%,Fastazi-P,0.08695652173913039,4.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,10%,Random,0.08695652173913039,4.0,0.22282608695652176,NA,NA,23,0,7
Compress,9,20%,Ekstazi,0.17391304347826078,8.0,0.21340579710144927,NA,NA,23,0,7
Compress,9,20%,FAST,0.17391304347826078,8.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,20%,Ekstazi+dpt,0.17391304347826078,8.0,0.0,NA,NA,30,0,0
Compress,9,20%,DPT,0.17391304347826078,8.0,0.0,NA,NA,30,0,0
Compress,9,20%,STARTS,0.17391304347826078,8.0,0.21268115942028987,NA,NA,23,0,7
Compress,9,20%,STARTS+FAST-S,0.17391304347826078,8.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,20%,STARTS+FAST-P,0.17391304347826078,8.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,20%,STARTS+DPT,0.17391304347826078,8.0,0.0,NA,NA,30,0,0
Compress,9,20%,Fastazi-S,0.17391304347826078,8.0,0.0,NA,NA,30,0,0
Compress,9,20%,Fastazi-P,0.17391304347826078,8.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,20%,Random,0.17391304347826078,8.0,0.30942028985507253,NA,NA,20,0,10
Compress,9,25%,Ekstazi,0.2391304347826086,11.0,0.26630434782608703,NA,NA,21,0,9
Compress,9,25%,FAST,0.2391304347826086,11.0,0.03297101449275362,NA,NA,29,0,1
Compress,9,25%,Ekstazi+dpt,0.2391304347826086,11.0,0.0,NA,NA,30,0,0
Compress,9,25%,DPT,0.2391304347826086,11.0,0.0,NA,NA,30,0,0
Compress,9,25%,STARTS,0.2391304347826086,11.0,0.29275362318840586,NA,NA,20,0,10
