Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Compress,9,1,10%,Ekstazi,4,0.0,NA,NA
Compress,9,1,10%,FAST,4,0.0,NA,NA
Compress,9,1,10%,Ekstazi+dpt,4,0.0,NA,NA
Compress,9,1,10%,DPT,4,0.0,NA,NA
Compress,9,1,10%,STARTS,4,0.0,NA,NA
Compress,9,1,10%,STARTS+FAST-S,4,0.0,NA,NA
Compress,9,1,10%,STARTS+FAST-P,4,0.0,NA,NA
Compress,9,1,10%,STARTS+DPT,4,0.0,NA,NA
Compress,9,1,10%,Fastazi-S,4,0.0,NA,NA
Compress,9,1,10%,Fastazi-P,4,0.0,NA,NA
Compress,9,1,10%,Random,4,0.0,NA,NA
Compress,9,1,20%,Ekstazi,8,0.0,NA,NA
Compress,9,1,20%,FAST,8,0.0,NA,NA
Compress,9,1,20%,Ekstazi+dpt,8,0.0,NA,NA
Compress,9,1,20%,DPT,8,0.0,NA,NA
Compress,9,1,20%,STARTS,8,0.8804347826086957,6,0.13043478260869565
Compress,9,1,20%,STARTS+FAST-S,8,0.0,NA,NA
Compress,9,1,20%,STARTS+FAST-P,8,0.0,NA,NA
Compress,9,1,20%,STARTS+DPT,8,0.0,NA,NA
Compress,9,1,20%,Fastazi-S,8,0.0,NA,NA
Compress,9,1,20%,Fastazi-P,8,0.0,NA,NA
Compress,9,1,20%,Random,8,0.8369565217391305,8,0.17391304347826086
Compress,9,1,25%,Ekstazi,11,0.0,NA,NA
Compress,9,1,25%,FAST,11,0.0,NA,NA
Compress,9,1,25%,Ekstazi+dpt,11,0.0,NA,NA
Compress,9,1,25%,DPT,11,0.0,NA,NA
Compress,9,1,25%,STARTS,11,0.8804347826086957,6,0.13043478260869565
Compress,9,1,25%,STARTS+FAST-S,11,0.0,NA,NA
Compress,9,1,25%,STARTS+FAST-P,11,0.0,NA,NA
Compress,9,1,25%,STARTS+DPT,11,0.0,NA,NA
Compress,9,1,25%,Fastazi-S,11,0.0,NA,NA
Compress,9,1,25%,Fastazi-P,11,0.0,NA,NA
Compress,9,1,25%,Random,11,0.8369565217391305,8,0.17391304347826086
Compress,9,1,30%,Ekstazi,13,0.0,NA,NA
Compress,9,1,30%,FAST,13,0.0,NA,NA
Compress,9,1,30%,Ekstazi+dpt,13,0.0,NA,NA
Compress,9,1,30%,DPT,13,0.0,NA,NA
Compress,9,1,30%,STARTS,13,0.8804347826086957,6,0.13043478260869565
Compress,9,1,30%,STARTS+FAST-S,13,0.0,NA,NA
Compress,9,1,30%,STARTS+FAST-P,13,0.0,NA,NA
Compress,9,1,30%,STARTS+DPT,13,0.0,NA,NA
Compress,9,1,30%,Fastazi-S,13,0.0,NA,NA
Compress,9,1,30%,Fastazi-P,13,0.0,NA,NA
Compress,9,1,30%,Random,13,0.8369565217391305,8,0.17391304347826086
Compress,9,1,40%,Ekstazi,17,0.0,NA,NA
Compress,9,1,40%,FAST,17,0.0,NA,NA
Compress,9,1,40%,Ekstazi+dpt,17,0.0,NA,NA
Compress,9,1,40%,DPT,17,0.0,NA,NA
Compress,9,1,40%,STARTS,17,0.8804347826086957,6,0.13043478260869565
Compress,9,1,40%,STARTS+FAST-S,17,0.0,NA,NA
Compress,9,1,40%,STARTS+FAST-P,17,0.0,NA,NA
Compress,9,1,40%,STARTS+DPT,17,0.0,NA,NA
Compress,9,1,40%,Fastazi-S,17,0.0,NA,NA
Compress,9,1,40%,Fastazi-P,17,0.0,NA,NA
Compress,9,1,40%,Random,17,0.8369565217391305,8,0.17391304347826086
Compress,9,1,50%,Ekstazi,22,0.0,NA,NA
Compress,9,1,50%,FAST,22,0.0,NA,NA
Compress,9,1,50%,Ekstazi+dpt,22,0.0,NA,NA
Compress,9,1,50%,DPT,22,0.0,NA,NA
Compress,9,1,50%,STARTS,22,0.8804347826086957,6,0.13043478260869565
Compress,9,1,50%,STARTS+FAST-S,22,0.0,NA,NA
Compress,9,1,50%,STARTS+FAST-P,22,0.0,NA,NA
Compress,9,1,50%,STARTS+DPT,22,0.0,NA,NA
Compress,9,1,50%,Fastazi-S,22,0.0,NA,NA
Compress,9,1,50%,Fastazi-P,22,0.0,NA,NA
Compress,9,1,50%,Random,22,0.8369565217391305,8,0.17391304347826086
Compress,9,1,60%,Ekstazi,26,0.0,NA,NA
Compress,9,1,60%,FAST,26,0.0,NA,NA
Compress,9,1,60%,Ekstazi+dpt,26,0.4891304347826087,24,0.5217391304347826
Compress,9,1,60%,DPT,26,0.4891304347826087,24,0.5217391304347826
Compress,9,1,60%,STARTS,26,0.8804347826086957,6,0.13043478260869565
Compress,9,1,60%,STARTS+FAST-S,26,0.4456521739130435,26,0.5652173913043478
Compress,9,1,60%,STARTS+FAST-P,26,0.4456521739130435,26,0.5652173913043478
Compress,9,1,60%,STARTS+DPT,26,0.4673913043478261,25,0.5434782608695652
Compress,9,1,60%,Fastazi-S,26,0.4673913043478261,25,0.5434782608695652
Compress,9,1,60%,Fastazi-P,26,0.4456521739130435,26,0.5652173913043478
Compress,9,1,60%,Random,26,0.8369565217391305,8,0.17391304347826086
Compress,9,1,70%,Ekstazi,30,0.0,NA,NA
Compress,9,1,70%,FAST,30,0.4239130434782608,27,0.5869565217391305
Compress,9,1,70%,Ekstazi+dpt,30,0.4891304347826087,24,0.5217391304347826
Compress,9,1,70%,DPT,30,0.4891304347826087,24,0.5217391304347826
Compress,9,1,70%,STARTS,30,0.8804347826086957,6,0.13043478260869565
Compress,9,1,70%,STARTS+FAST-S,30,0.4456521739130435,26,0.5652173913043478
Compress,9,1,70%,STARTS+FAST-P,30,0.4456521739130435,26,0.5652173913043478
Compress,9,1,70%,STARTS+DPT,30,0.4673913043478261,25,0.5434782608695652
Compress,9,1,70%,Fastazi-S,30,0.4673913043478261,25,0.5434782608695652
Compress,9,1,70%,Fastazi-P,30,0.4456521739130435,26,0.5652173913043478
Compress,9,1,70%,Random,30,0.8369565217391305,8,0.17391304347826086
Compress,9,1,75%,Ekstazi,33,0.0,NA,NA
Compress,9,1,75%,FAST,33,0.4239130434782608,27,0.5869565217391305
Compress,9,1,75%,Ekstazi+dpt,33,0.4891304347826087,24,0.5217391304347826
Compress,9,1,75%,DPT,33,0.4891304347826087,24,0.5217391304347826
Compress,9,1,75%,STARTS,33,0.8804347826086957,6,0.13043478260869565
Compress,9,1,75%,STARTS+FAST-S,33,0.4456521739130435,26,0.5652173913043478
Compress,9,1,75%,STARTS+FAST-P,33,0.4456521739130435,26,0.5652173913043478
Compress,9,1,75%,STARTS+DPT,33,0.4673913043478261,25,0.5434782608695652
Compress,9,1,75%,Fastazi-S,33,0.4673913043478261,25,0.5434782608695652
Compress,9,1,75%,Fastazi-P,33,0.4456521739130435,26,0.5652173913043478
Compress,9,1,75%,Random,33,0.8369565217391305,8,0.17391304347826086
Compress,9,1,80%,Ekstazi,35,0.0,NA,NA
Compress,9,1,80%,FAST,35,0.4239130434782608,27,0.5869565217391305
Compress,9,1,80%,Ekstazi+dpt,35,0.4891304347826087,24,0.5217391304347826
Compress,9,1,80%,DPT,35,0.4891304347826087,24,0.5217391304347826
Compress,9,1,80%,STARTS,35,0.8804347826086957,6,0.13043478260869565
Compress,9,1,80%,STARTS+FAST-S,35,0.4456521739130435,26,0.5652173913043478
Compress,9,1,80%,STARTS+FAST-P,35,0.4456521739130435,26,0.5652173913043478
Compress,9,1,80%,STARTS+DPT,35,0.4673913043478261,25,0.5434782608695652
Compress,9,1,80%,Fastazi-S,35,0.4673913043478261,25,0.5434782608695652
Compress,9,1,80%,Fastazi-P,35,0.4456521739130435,26,0.5652173913043478
Compress,9,1,80%,Random,35,0.8369565217391305,8,0.17391304347826086
Compress,9,1,90%,Ekstazi,39,0.16304347826086957,39,0.8478260869565217
Compress,9,1,90%,FAST,39,0.4239130434782608,27,0.5869565217391305
Compress,9,1,90%,Ekstazi+dpt,39,0.4891304347826087,24,0.5217391304347826
Compress,9,1,90%,DPT,39,0.4891304347826087,24,0.5217391304347826
Compress,9,1,90%,STARTS,39,0.8804347826086957,6,0.13043478260869565
Compress,9,1,90%,STARTS+FAST-S,39,0.4456521739130435,26,0.5652173913043478
Compress,9,1,90%,STARTS+FAST-P,39,0.4456521739130435,26,0.5652173913043478
Compress,9,1,90%,STARTS+DPT,39,0.4673913043478261,25,0.5434782608695652
Compress,9,1,90%,Fastazi-S,39,0.4673913043478261,25,0.5434782608695652
Compress,9,1,90%,Fastazi-P,39,0.4456521739130435,26,0.5652173913043478
Compress,9,1,90%,Random,39,0.8369565217391305,8,0.17391304347826086
Compress,9,1,100%,Ekstazi,44,0.16304347826086957,39,0.8478260869565217
Compress,9,1,100%,FAST,44,0.4239130434782608,27,0.5869565217391305
Compress,9,1,100%,Ekstazi+dpt,44,0.4891304347826087,24,0.5217391304347826
Compress,9,1,100%,DPT,44,0.4891304347826087,24,0.5217391304347826
Compress,9,1,100%,STARTS,44,0.8804347826086957,6,0.13043478260869565
Compress,9,1,100%,STARTS+FAST-S,44,0.4456521739130435,26,0.5652173913043478
Compress,9,1,100%,STARTS+FAST-P,44,0.4456521739130435,26,0.5652173913043478
Compress,9,1,100%,STARTS+DPT,44,0.4673913043478261,25,0.5434782608695652
Compress,9,1,100%,Fastazi-S,44,0.4673913043478261,25,0.5434782608695652
Compress,9,1,100%,Fastazi-P,44,0.4456521739130435,26,0.5652173913043478
Compress,9,1,100%,Random,44,0.8369565217391305,8,0.17391304347826086
Compress,9,2,10%,Ekstazi,4,0.0,NA,NA
Compress,9,2,10%,FAST,4,0.0,NA,NA
Compress,9,2,10%,Ekstazi+dpt,4,0.0,NA,NA
Compress,9,2,10%,DPT,4,0.0,NA,NA
Compress,9,2,10%,STARTS,4,0.0,NA,NA
Compress,9,2,10%,STARTS+FAST-S,4,0.0,NA,NA
Compress,9,2,10%,STARTS+FAST-P,4,0.0,NA,NA
Compress,9,2,10%,STARTS+DPT,4,0.0,NA,NA
Compress,9,2,10%,Fastazi-S,4,0.0,NA,NA
Compress,9,2,10%,Fastazi-P,4,0.0,NA,NA
Compress,9,2,10%,Random,4,0.923913043478261,4,0.08695652173913043
Compress,9,2,20%,Ekstazi,8,0.0,NA,NA
Compress,9,2,20%,FAST,8,0.0,NA,NA
Compress,9,2,20%,Ekstazi+dpt,8,0.0,NA,NA
Compress,9,2,20%,DPT,8,0.0,NA,NA
Compress,9,2,20%,STARTS,8,0.0,NA,NA
Compress,9,2,20%,STARTS+FAST-S,8,0.0,NA,NA
Compress,9,2,20%,STARTS+FAST-P,8,0.0,NA,NA
Compress,9,2,20%,STARTS+DPT,8,0.0,NA,NA
Compress,9,2,20%,Fastazi-S,8,0.0,NA,NA
Compress,9,2,20%,Fastazi-P,8,0.0,NA,NA
Compress,9,2,20%,Random,8,0.923913043478261,4,0.08695652173913043
Compress,9,2,25%,Ekstazi,11,0.0,NA,NA
Compress,9,2,25%,FAST,11,0.0,NA,NA
Compress,9,2,25%,Ekstazi+dpt,11,0.0,NA,NA
Compress,9,2,25%,DPT,11,0.0,NA,NA
Compress,9,2,25%,STARTS,11,0.0,NA,NA
Compress,9,2,25%,STARTS+FAST-S,11,0.0,NA,NA
Compress,9,2,25%,STARTS+FAST-P,11,0.0,NA,NA
Compress,9,2,25%,STARTS+DPT,11,0.0,NA,NA
Compress,9,2,25%,Fastazi-S,11,0.0,NA,NA
Compress,9,2,25%,Fastazi-P,11,0.0,NA,NA
Compress,9,2,25%,Random,11,0.923913043478261,4,0.08695652173913043
Compress,9,2,30%,Ekstazi,13,0.0,NA,NA
Compress,9,2,30%,FAST,13,0.0,NA,NA
Compress,9,2,30%,Ekstazi+dpt,13,0.0,NA,NA
Compress,9,2,30%,DPT,13,0.0,NA,NA
Compress,9,2,30%,STARTS,13,0.0,NA,NA
Compress,9,2,30%,STARTS+FAST-S,13,0.0,NA,NA
Compress,9,2,30%,STARTS+FAST-P,13,0.0,NA,NA
Compress,9,2,30%,STARTS+DPT,13,0.0,NA,NA
Compress,9,2,30%,Fastazi-S,13,0.0,NA,NA
Compress,9,2,30%,Fastazi-P,13,0.0,NA,NA
Compress,9,2,30%,Random,13,0.923913043478261,4,0.08695652173913043
Compress,9,2,40%,Ekstazi,17,0.6630434782608696,16,0.34782608695652173
Compress,9,2,40%,FAST,17,0.0,NA,NA
Compress,9,2,40%,Ekstazi+dpt,17,0.0,NA,NA
Compress,9,2,40%,DPT,17,0.0,NA,NA
Compress,9,2,40%,STARTS,17,0.0,NA,NA
Compress,9,2,40%,STARTS+FAST-S,17,0.0,NA,NA
Compress,9,2,40%,STARTS+FAST-P,17,0.0,NA,NA
Compress,9,2,40%,STARTS+DPT,17,0.0,NA,NA
Compress,9,2,40%,Fastazi-S,17,0.0,NA,NA
Compress,9,2,40%,Fastazi-P,17,0.0,NA,NA
Compress,9,2,40%,Random,17,0.923913043478261,4,0.08695652173913043
Compress,9,2,50%,Ekstazi,22,0.6630434782608696,16,0.34782608695652173
Compress,9,2,50%,FAST,22,0.0,NA,NA
Compress,9,2,50%,Ekstazi+dpt,22,0.0,NA,NA
Compress,9,2,50%,DPT,22,0.0,NA,NA
Compress,9,2,50%,STARTS,22,0.5543478260869565,21,0.45652173913043476
Compress,9,2,50%,STARTS+FAST-S,22,0.0,NA,NA
Compress,9,2,50%,STARTS+FAST-P,22,0.0,NA,NA
Compress,9,2,50%,STARTS+DPT,22,0.0,NA,NA
Compress,9,2,50%,Fastazi-S,22,0.0,NA,NA
Compress,9,2,50%,Fastazi-P,22,0.0,NA,NA
Compress,9,2,50%,Random,22,0.923913043478261,4,0.08695652173913043
Compress,9,2,60%,Ekstazi,26,0.6630434782608696,16,0.34782608695652173
Compress,9,2,60%,FAST,26,0.0,NA,NA
Compress,9,2,60%,Ekstazi+dpt,26,0.4673913043478261,25,0.5434782608695652
Compress,9,2,60%,DPT,26,0.4673913043478261,25,0.5434782608695652
Compress,9,2,60%,STARTS,26,0.5543478260869565,21,0.45652173913043476
Compress,9,2,60%,STARTS+FAST-S,26,0.4456521739130435,26,0.5652173913043478
Compress,9,2,60%,STARTS+FAST-P,26,0.4891304347826087,24,0.5217391304347826
Compress,9,2,60%,STARTS+DPT,26,0.4891304347826087,24,0.5217391304347826
Compress,9,2,60%,Fastazi-S,26,0.4456521739130435,26,0.5652173913043478
Compress,9,2,60%,Fastazi-P,26,0.4456521739130435,26,0.5652173913043478
Compress,9,2,60%,Random,26,0.923913043478261,4,0.08695652173913043
Compress,9,2,70%,Ekstazi,30,0.6630434782608696,16,0.34782608695652173
Compress,9,2,70%,FAST,30,0.4239130434782608,27,0.5869565217391305
Compress,9,2,70%,Ekstazi+dpt,30,0.4673913043478261,25,0.5434782608695652
Compress,9,2,70%,DPT,30,0.4673913043478261,25,0.5434782608695652
Compress,9,2,70%,STARTS,30,0.5543478260869565,21,0.45652173913043476
Compress,9,2,70%,STARTS+FAST-S,30,0.4456521739130435,26,0.5652173913043478
Compress,9,2,70%,STARTS+FAST-P,30,0.4891304347826087,24,0.5217391304347826
Compress,9,2,70%,STARTS+DPT,30,0.4891304347826087,24,0.5217391304347826
Compress,9,2,70%,Fastazi-S,30,0.4456521739130435,26,0.5652173913043478
Compress,9,2,70%,Fastazi-P,30,0.4456521739130435,26,0.5652173913043478
Compress,9,2,70%,Random,30,0.923913043478261,4,0.08695652173913043
Compress,9,2,75%,Ekstazi,33,0.6630434782608696,16,0.34782608695652173
Compress,9,2,75%,FAST,33,0.4239130434782608,27,0.5869565217391305
Compress,9,2,75%,Ekstazi+dpt,33,0.4673913043478261,25,0.5434782608695652
Compress,9,2,75%,DPT,33,0.4673913043478261,25,0.5434782608695652
Compress,9,2,75%,STARTS,33,0.5543478260869565,21,0.45652173913043476
Compress,9,2,75%,STARTS+FAST-S,33,0.4456521739130435,26,0.5652173913043478
Compress,9,2,75%,STARTS+FAST-P,33,0.4891304347826087,24,0.5217391304347826
Compress,9,2,75%,STARTS+DPT,33,0.4891304347826087,24,0.5217391304347826
Compress,9,2,75%,Fastazi-S,33,0.4456521739130435,26,0.5652173913043478
Compress,9,2,75%,Fastazi-P,33,0.4456521739130435,26,0.5652173913043478
Compress,9,2,75%,Random,33,0.923913043478261,4,0.08695652173913043
Compress,9,2,80%,Ekstazi,35,0.6630434782608696,16,0.34782608695652173
Compress,9,2,80%,FAST,35,0.4239130434782608,27,0.5869565217391305
Compress,9,2,80%,Ekstazi+dpt,35,0.4673913043478261,25,0.5434782608695652
Compress,9,2,80%,DPT,35,0.4673913043478261,25,0.5434782608695652
Compress,9,2,80%,STARTS,35,0.5543478260869565,21,0.45652173913043476
Compress,9,2,80%,STARTS+FAST-S,35,0.4456521739130435,26,0.5652173913043478
Compress,9,2,80%,STARTS+FAST-P,35,0.4891304347826087,24,0.5217391304347826
Compress,9,2,80%,STARTS+DPT,35,0.4891304347826087,24,0.5217391304347826
Compress,9,2,80%,Fastazi-S,35,0.4456521739130435,26,0.5652173913043478
