Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Compress,9,1,Ekstazi,44,0.16304347826086957,39,0.8478260869565217
Compress,9,1,FAST,46,0.4239130434782608,27,0.5869565217391305
Compress,9,1,Ekstazi+dpt,44,0.4891304347826087,24,0.5217391304347826
Compress,9,1,DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,1,STARTS,46,0.8804347826086957,6,0.13043478260869565
Compress,9,1,STARTS+FAST-S,46,0.4456521739130435,26,0.5652173913043478
Compress,9,1,STARTS+FAST-P,46,0.4456521739130435,26,0.5652173913043478
Compress,9,1,STARTS+DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,1,Fastazi-S,44,0.4673913043478261,25,0.5434782608695652
Compress,9,1,Fastazi-P,44,0.4456521739130435,26,0.5652173913043478
Compress,9,1,Random,46,0.8369565217391305,8,0.17391304347826086
Compress,9,2,Ekstazi,44,0.6630434782608696,16,0.34782608695652173
Compress,9,2,FAST,46,0.4239130434782608,27,0.5869565217391305
Compress,9,2,Ekstazi+dpt,44,0.4673913043478261,25,0.5434782608695652
Compress,9,2,DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,2,STARTS,46,0.5543478260869565,21,0.45652173913043476
Compress,9,2,STARTS+FAST-S,46,0.4456521739130435,26,0.5652173913043478
Compress,9,2,STARTS+FAST-P,46,0.4891304347826087,24,0.5217391304347826
Compress,9,2,STARTS+DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,2,Fastazi-S,44,0.4456521739130435,26,0.5652173913043478
Compress,9,2,Fastazi-P,44,0.4456521739130435,26,0.5652173913043478
Compress,9,2,Random,46,0.923913043478261,4,0.08695652173913043
Compress,9,3,Ekstazi,44,0.8804347826086957,6,0.13043478260869565
Compress,9,3,FAST,46,0.4456521739130435,26,0.5652173913043478
Compress,9,3,Ekstazi+dpt,44,0.4891304347826087,24,0.5217391304347826
Compress,9,3,DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,3,STARTS,46,0.8152173913043479,9,0.1956521739130435
Compress,9,3,STARTS+FAST-S,46,0.4673913043478261,25,0.5434782608695652
Compress,9,3,STARTS+FAST-P,46,0.4673913043478261,25,0.5434782608695652
Compress,9,3,STARTS+DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,3,Fastazi-S,44,0.4673913043478261,25,0.5434782608695652
Compress,9,3,Fastazi-P,44,0.4673913043478261,25,0.5434782608695652
Compress,9,3,Random,46,0.33695652173913043,31,0.6739130434782609
Compress,9,4,Ekstazi,44,0.29347826086956524,33,0.717391304347826
Compress,9,4,FAST,46,0.4456521739130435,26,0.5652173913043478
Compress,9,4,Ekstazi+dpt,44,0.4891304347826087,24,0.5217391304347826
Compress,9,4,DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,4,STARTS,46,0.5108695652173914,23,0.5
Compress,9,4,STARTS+FAST-S,46,0.4456521739130435,26,0.5652173913043478
Compress,9,4,STARTS+FAST-P,46,0.4673913043478261,25,0.5434782608695652
Compress,9,4,STARTS+DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,4,Fastazi-S,44,0.4673913043478261,25,0.5434782608695652
Compress,9,4,Fastazi-P,44,0.4673913043478261,25,0.5434782608695652
Compress,9,4,Random,46,0.29347826086956524,33,0.717391304347826
Compress,9,5,Ekstazi,44,0.9021739130434783,5,0.10869565217391304
Compress,9,5,FAST,46,0.4239130434782608,27,0.5869565217391305
Compress,9,5,Ekstazi+dpt,44,0.4673913043478261,25,0.5434782608695652
Compress,9,5,DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,5,STARTS,46,0.09782608695652178,42,0.9130434782608695
Compress,9,5,STARTS+FAST-S,46,0.4673913043478261,25,0.5434782608695652
Compress,9,5,STARTS+FAST-P,46,0.4673913043478261,25,0.5434782608695652
Compress,9,5,STARTS+DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,5,Fastazi-S,44,0.4673913043478261,25,0.5434782608695652
Compress,9,5,Fastazi-P,44,0.4456521739130435,26,0.5652173913043478
Compress,9,5,Random,46,0.18478260869565216,38,0.8260869565217391
Compress,9,6,Ekstazi,44,0.8804347826086957,6,0.13043478260869565
Compress,9,6,FAST,46,0.4239130434782608,27,0.5869565217391305
Compress,9,6,Ekstazi+dpt,44,0.4891304347826087,24,0.5217391304347826
Compress,9,6,DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,6,STARTS,46,0.5760869565217392,20,0.43478260869565216
Compress,9,6,STARTS+FAST-S,46,0.4673913043478261,25,0.5434782608695652
Compress,9,6,STARTS+FAST-P,46,0.4456521739130435,26,0.5652173913043478
Compress,9,6,STARTS+DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,6,Fastazi-S,44,0.4673913043478261,25,0.5434782608695652
Compress,9,6,Fastazi-P,44,0.4456521739130435,26,0.5652173913043478
Compress,9,6,Random,46,0.8586956521739131,7,0.15217391304347827
Compress,9,7,Ekstazi,44,0.4456521739130435,26,0.5652173913043478
Compress,9,7,FAST,46,0.4456521739130435,26,0.5652173913043478
Compress,9,7,Ekstazi+dpt,44,0.4891304347826087,24,0.5217391304347826
Compress,9,7,DPT,46,0.4673913043478261,25,0.5434782608695652
Compress,9,7,STARTS,46,0.9891304347826088,1,0.021739130434782608
Compress,9,7,STARTS+FAST-S,46,0.9891304347826088,1,0.021739130434782608
Compress,9,7,STARTS+FAST-P,46,0.4456521739130435,26,0.5652173913043478
Compress,9,7,STARTS+DPT,46,0.4891304347826087,24,0.5217391304347826
Compress,9,7,Fastazi-S,44,0.4456521739130435,26,0.5652173913043478
Compress,9,7,Fastazi-P,44,0.4673913043478261,25,0.5434782608695652
