Project, Version, Suite, Time
Compress,10,Selection,5.71
Compress,10,sel_time_starts,14.52
Compress,10,Full prioritization,0.016
Compress,10,prio_p_time_starts,0.011333333333333332
Compress,10,Sel. prioritization,0.009666666666666667
Compress,10,prio_s_time_starts,0.010333333333333333
Compress,10,FAST preparation,0.36
Compress,10,fast_prep_time_starts,0.36
Compress,10,Build time,27.74
Compress,10,build_time_starts,27.68
Compress,10,Test time,23.909999999999997
Compress,10,test_time_starts,20.7
Compress,10,DPTT_time,0.0006666666666666666
Compress,10,DPTT_ekstazi_time,0.0006666666666666666
Compress,10,DPTT_time_starts,0.0006666666666666666
Compress,10,DPT,5.710666666666667
Compress,10,DPT_TIME,5.710666666666667
Compress,10,FAST,0.376
Compress,10,fast_time_starts,0.3713333333333333
Compress,10,Fastazi-S,5.719666666666667
Compress,10,fastazi_s_time_starts,14.530333333333333
Compress,10,FAST_T_starts,0.3713333333333333
Compress,10,DPTT_ekstazi_t,5.710666666666667
Compress,10,DPTT_t_starts,20.230666666666668
Compress,11,Selection,5.75
Compress,11,sel_time_starts,12.99
Compress,11,Full prioritization,0.016666666666666666
Compress,11,prio_p_time_starts,0.013333333333333334
Compress,11,Sel. prioritization,0.010333333333333335
Compress,11,prio_s_time_starts,0.009000000000000001
Compress,11,FAST preparation,0.12
Compress,11,fast_prep_time_starts,0.13
Compress,11,Build time,27.099999999999998
Compress,11,build_time_starts,28.310000000000002
Compress,11,Test time,25.07
Compress,11,test_time_starts,18.34
Compress,11,DPTT_time,0.0003333333333333333
Compress,11,DPTT_ekstazi_time,0.0003333333333333333
Compress,11,DPTT_time_starts,0.0006666666666666666
Compress,11,DPT,5.750333333333334
Compress,11,DPT_TIME,5.750333333333334
Compress,11,FAST,0.13666666666666666
Compress,11,fast_time_starts,0.14333333333333334
Compress,11,Fastazi-S,5.7603333333333335
Compress,11,fastazi_s_time_starts,12.999
Compress,11,FAST_T_starts,0.14333333333333334
Compress,11,DPTT_ekstazi_t,5.750333333333334
Compress,11,DPTT_t_starts,18.74066666666667
