Project, Version, Suite, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Gson,1,Ekstazi,77.0,0.4256410256410256,45.3,0.5807692307692309,0,1,30
Gson,1,FAST,78.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,Ekstazi+dpt,77.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,DPT,78.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,STARTS,78.0,0.5299145299145299,37.166666666666664,0.47649572649572647,0,1,30
Gson,1,STARTS+FAST-S,78.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,STARTS+FAST-P,78.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,STARTS+DPT,78.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,Fastazi-S,77.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,Fastazi-P,77.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,Random,78.0,0.5034188034188033,39.233333333333334,0.5029914529914529,0,1,30
Gson,2,Ekstazi,83.0,0.48373015873015884,43.86666666666667,0.5222222222222224,0,1,30
Gson,2,FAST,84.0,0.9357142857142855,5.9,0.07023809523809524,0,1,30
Gson,2,Ekstazi+dpt,83.0,0.93452380952381,6.0,0.07142857142857141,0,1,30
Gson,2,DPT,84.0,0.93452380952381,6.0,0.07142857142857141,0,1,30
Gson,2,STARTS,84.0,0.4444444444444443,47.166666666666664,0.5615079365079366,0,1,30
Gson,2,STARTS+FAST-S,84.0,0.9781746031746033,2.3333333333333335,0.027777777777777787,0,1,30
Gson,2,STARTS+FAST-P,84.0,0.975793650793651,2.533333333333333,0.030158730158730166,0,1,30
Gson,2,STARTS+DPT,84.0,0.93452380952381,6.0,0.07142857142857141,0,1,30
Gson,2,Fastazi-S,83.0,0.9273809523809523,6.6,0.07857142857142858,0,1,30
Gson,2,Fastazi-P,83.0,0.9365079365079364,5.833333333333333,0.06944444444444445,0,1,30
Gson,2,Random,84.0,0.42103174603174603,49.13333333333333,0.584920634920635,0,1,30
Gson,3,Ekstazi,83.0,0.5309523809523808,39.9,0.4749999999999999,0,1,30
Gson,3,FAST,84.0,0.27698412698412705,61.233333333333334,0.7289682539682535,0,1,30
Gson,3,Ekstazi+dpt,83.0,0.9940476190476194,1.0,0.011904761904761913,0,1,30
Gson,3,DPT,84.0,0.9940476190476194,1.0,0.011904761904761913,0,1,30
Gson,3,STARTS,84.0,0.5130952380952382,41.4,0.4928571428571429,0,1,30
Gson,3,STARTS+FAST-S,84.0,0.20595238095238091,67.2,0.7999999999999999,0,1,30
Gson,3,STARTS+FAST-P,84.0,0.2071428571428571,67.1,0.7988095238095237,0,1,30
Gson,3,STARTS+DPT,84.0,0.9940476190476194,1.0,0.011904761904761913,0,1,30
Gson,3,Fastazi-S,83.0,0.2777777777777779,61.166666666666664,0.7281746031746027,0,1,30
Gson,3,Fastazi-P,83.0,0.288888888888889,60.233333333333334,0.7170634920634921,0,1,30
Gson,3,Random,84.0,0.544047619047619,38.8,0.4619047619047618,0,1,30
Gson,4,Ekstazi,84.0,0.6946360153256705,27.066666666666666,0.31111111111111117,0,1,30
Gson,4,FAST,87.0,0.9678160919540236,3.3,0.03793103448275862,0,1,30
Gson,4,Ekstazi+dpt,84.0,0.07547892720306516,80.93333333333334,0.9302681992337164,0,1,30
Gson,4,DPT,87.0,0.06934865900383144,81.46666666666667,0.9363984674329502,0,1,30
Gson,4,STARTS,86.0,0.6727969348659006,28.966666666666665,0.33295019157088124,0,1,30
Gson,4,STARTS+FAST-S,86.0,0.8701149425287356,11.8,0.13563218390804596,0,1,30
Gson,4,STARTS+FAST-P,86.0,0.8724137931034482,11.6,0.13333333333333333,0,1,30
Gson,4,STARTS+DPT,86.0,0.0662835249042146,81.73333333333333,0.9394636015325671,0,1,30
Gson,4,Fastazi-S,84.0,0.9471264367816097,5.1,0.05862068965517243,0,1,30
Gson,4,Fastazi-P,84.0,0.9678160919540236,3.3,0.03793103448275862,0,1,30
Gson,4,Random,87.0,0.6793103448275862,28.4,0.32643678160919537,0,1,30
Gson,5,Ekstazi,1.0,0.9942528735632188,1.0,0.01149425287356321,0,1,30
Gson,5,FAST,87.0,0.4383141762452108,49.36666666666667,0.5674329501915711,0,1,30
Gson,5,Ekstazi+dpt,1.0,0.9942528735632188,1.0,0.01149425287356321,0,1,30
Gson,5,DPT,87.0,0.1157088122605363,77.43333333333334,0.8900383141762455,0,1,30
Gson,5,STARTS,78.0,0.5329501915708811,41.13333333333333,0.47279693486590035,0,1,30
Gson,5,STARTS+FAST-S,78.0,0.5448275862068966,40.1,0.460919540229885,0,1,30
Gson,5,STARTS+FAST-P,78.0,0.5283524904214559,41.53333333333333,0.4773946360153255,0,1,30
Gson,5,STARTS+DPT,78.0,0.189655172413793,71.0,0.8160919540229881,0,1,30
Gson,5,Fastazi-S,1.0,0.9942528735632188,1.0,0.01149425287356321,0,1,30
Gson,5,Fastazi-P,1.0,0.9942528735632188,1.0,0.01149425287356321,0,1,30
Gson,5,Random,87.0,0.49118773946360156,44.766666666666666,0.51455938697318,0,1,30
Gson,6,Ekstazi,65.0,0.6856060606060608,28.166666666666668,0.3200757575757577,0,1,30
Gson,6,FAST,88.0,0.8393939393939399,14.633333333333333,0.16628787878787885,0,1,30
Gson,6,Ekstazi+dpt,65.0,0.49469696969696975,44.96666666666667,0.5109848484848486,0,1,30
Gson,6,DPT,88.0,0.4977272727272727,44.7,0.5079545454545457,0,1,30
Gson,6,STARTS,79.0,0.5602272727272729,39.2,0.4454545454545455,0,1,30
Gson,6,STARTS+FAST-S,79.0,0.8814393939393935,10.933333333333334,0.12424242424242427,0,1,30
Gson,6,STARTS+FAST-P,79.0,0.8825757575757572,10.833333333333334,0.12310606060606061,0,1,30
Gson,6,STARTS+DPT,79.0,0.4924242424242423,45.166666666666664,0.513257575757576,0,1,30
Gson,6,Fastazi-S,65.0,0.9636363636363642,3.7,0.04204545454545454,0,1,30
Gson,6,Fastazi-P,65.0,0.8973484848484846,9.533333333333333,0.1083333333333333,0,1,30
Gson,6,Random,88.0,0.4996212121212122,44.53333333333333,0.506060606060606,0,1,30
Gson,7,Ekstazi,69.0,0.7640151515151514,21.266666666666666,0.24166666666666667,0,1,30
Gson,7,FAST,88.0,0.9469696969696973,5.166666666666667,0.05871212121212119,0,1,30
Gson,7,Ekstazi+dpt,69.0,0.9943181818181824,1.0,0.011363636363636359,0,1,30
Gson,7,DPT,88.0,0.9943181818181824,1.0,0.011363636363636359,0,1,30
Gson,7,STARTS,79.0,0.7068181818181821,26.3,0.2988636363636364,0,1,30
Gson,7,STARTS+FAST-S,79.0,0.9185606060606057,7.666666666666667,0.08712121212121211,0,1,30
Gson,7,STARTS+FAST-P,79.0,0.908333333333333,8.566666666666666,0.09734848484848477,0,1,30
Gson,7,STARTS+DPT,79.0,0.9943181818181824,1.0,0.011363636363636359,0,1,30
Gson,7,Fastazi-S,69.0,0.9590909090909095,4.1,0.0465909090909091,0,1,30
Gson,7,Fastazi-P,69.0,0.9659090909090912,3.5,0.03977272727272726,0,1,30
Gson,7,Random,88.0,0.7109848484848486,25.933333333333334,0.2946969696969697,0,1,30
Gson,8,Ekstazi,66.0,0.6782771535580525,29.133333333333333,0.3273408239700375,0,1,30
Gson,8,FAST,89.0,0.6176029962546818,34.53333333333333,0.3880149812734082,0,1,30
Gson,8,Ekstazi+dpt,66.0,0.26404494382022475,66.0,0.7415730337078655,0,1,30
Gson,8,DPT,89.0,0.11872659176029962,78.93333333333334,0.8868913857677899,0,1,30
Gson,8,STARTS,80.0,0.5883895131086143,37.13333333333333,0.41722846441947564,0,1,30
Gson,8,STARTS+FAST-S,80.0,0.6940074906367039,27.733333333333334,0.3116104868913857,0,1,30
Gson,8,STARTS+FAST-P,80.0,0.6985018726591757,27.333333333333332,0.30711610486891383,0,1,30
Gson,8,STARTS+DPT,80.0,0.19101123595505626,72.5,0.8146067415730336,0,1,30
Gson,8,Fastazi-S,66.0,0.7179775280898878,25.6,0.2876404494382023,0,1,30
Gson,8,Fastazi-P,66.0,0.7202247191011237,25.4,0.28539325842696633,0,1,30
Gson,8,Random,89.0,0.48239700374531835,46.56666666666667,0.5232209737827715,0,1,30
Gson,9,Ekstazi,63.0,0.6131086142322096,34.93333333333333,0.39250936329588004,0,1,30
Gson,9,FAST,89.0,0.20674157303370785,71.1,0.7988764044943825,0,1,30
Gson,9,Ekstazi+dpt,63.0,0.2977528089887641,63.0,0.7078651685393258,0,1,30
Gson,9,DPT,89.0,0.02322097378277159,87.43333333333334,0.9823970037453188,0,1,30
Gson,9,STARTS,80.0,0.6018726591760298,35.93333333333333,0.40374531835206007,0,1,30
Gson,9,STARTS+FAST-S,80.0,0.24007490636704135,68.13333333333334,0.7655430711610481,0,1,30
Gson,9,STARTS+FAST-P,80.0,0.24119850187265937,68.03333333333333,0.7644194756554302,0,1,30
Gson,9,STARTS+DPT,80.0,0.11797752808988762,79.0,0.8876404494382018,0,1,30
Gson,9,Fastazi-S,63.0,0.45468164794007515,49.03333333333333,0.5509363295880152,0,1,30
Gson,9,Fastazi-P,63.0,0.4647940074906368,48.13333333333333,0.540823970037453,0,1,30
Gson,9,Random,89.0,0.45393258426966293,49.1,0.551685393258427,0,1,30
Gson,10,Ekstazi,66.0,0.6392592592592591,32.96666666666667,0.3662962962962963,0,1,30
Gson,10,FAST,90.0,0.10481481481481486,81.06666666666666,0.9007407407407404,0,1,30
Gson,10,Ekstazi+dpt,66.0,0.7718518518518519,21.033333333333335,0.23370370370370372,0,1,30
Gson,10,DPT,90.0,0.7714814814814817,21.066666666666666,0.2340740740740741,0,1,30
Gson,10,STARTS,80.0,0.5607407407407408,40.03333333333333,0.44481481481481483,0,1,30
Gson,10,STARTS+FAST-S,80.0,0.5270370370370369,43.06666666666667,0.4785185185185185,0,1,30
Gson,10,STARTS+FAST-P,80.0,0.4996296296296297,45.53333333333333,0.5059259259259259,0,1,30
Gson,10,STARTS+DPT,80.0,0.7711111111111112,21.1,0.23444444444444448,0,1,30
Gson,10,Fastazi-S,66.0,0.35999999999999976,58.1,0.6455555555555557,0,1,30
Gson,10,Fastazi-P,66.0,0.3603703703703702,58.06666666666667,0.6451851851851853,0,1,30
Gson,10,Random,90.0,0.43222222222222223,51.6,0.5733333333333336,0,1,30
Gson,11,Ekstazi,79.0,0.6534798534798534,32.03333333333333,0.35201465201465215,0,1,30
Gson,11,FAST,91.0,0.14688644688644692,78.13333333333334,0.8586080586080589,0,1,30
Gson,11,Ekstazi+dpt,79.0,0.7417582417582412,24.0,0.26373626373626374,0,1,30
Gson,11,DPT,91.0,0.7417582417582412,24.0,0.26373626373626374,0,1,30
Gson,11,STARTS,85.0,0.5216117216117218,44.03333333333333,0.4838827838827838,0,1,30
Gson,11,STARTS+FAST-S,85.0,0.12600732600732603,80.03333333333333,0.8794871794871798,0,1,30
Gson,11,STARTS+FAST-P,85.0,0.13626373626373625,79.1,0.8692307692307696,0,1,30
Gson,11,STARTS+DPT,85.0,0.7417582417582412,24.0,0.26373626373626374,0,1,30
Gson,11,Fastazi-S,79.0,0.26849816849816843,67.06666666666666,0.7369963369963376,0,1,30
Gson,11,Fastazi-P,79.0,0.278021978021978,66.2,0.7274725274725274,0,1,30
Gson,11,Random,91.0,0.4003663003663004,55.06666666666667,0.6051282051282052,0,1,30
Gson,12,Ekstazi,77.0,0.593840579710145,37.86666666666667,0.4115942028985507,0,1,30
Gson,12,FAST,92.0,0.35217391304347817,60.1,0.6532608695652172,0,1,30
Gson,12,Ekstazi+dpt,77.0,0.22898550724637676,71.43333333333334,0.776449275362319,0,1,30
Gson,12,DPT,92.0,0.2271739130434782,71.6,0.7782608695652173,0,1,30
Gson,12,STARTS,82.0,0.5380434782608696,43.0,0.46739130434782605,0,1,30
Gson,12,STARTS+FAST-S,82.0,0.44637681159420267,51.43333333333333,0.5590579710144928,0,1,30
Gson,12,STARTS+FAST-P,82.0,0.43768115942028984,52.233333333333334,0.5677536231884056,0,1,30
Gson,12,STARTS+DPT,82.0,0.22826086956521732,71.5,0.7771739130434783,0,1,30
Gson,12,Fastazi-S,77.0,0.48007246376811613,48.333333333333336,0.5253623188405798,0,1,30
Gson,12,Fastazi-P,77.0,0.4822463768115944,48.13333333333333,0.5231884057971016,0,1,30
Gson,12,Random,92.0,0.5340579710144927,43.36666666666667,0.4713768115942029,0,1,30
Gson,13,Ekstazi,82.0,0.6221014492753623,35.266666666666666,0.38333333333333336,0,1,30
Gson,13,FAST,92.0,0.9398550724637679,6.033333333333333,0.06557971014492753,0,1,30
Gson,13,Ekstazi+dpt,82.0,0.11413043478260877,82.0,0.8913043478260863,0,1,30
Gson,13,DPT,92.0,0.05398550724637682,87.53333333333333,0.9514492753623185,0,1,30
Gson,13,STARTS,87.0,0.5474637681159421,42.13333333333333,0.4579710144927537,0,1,30
Gson,13,STARTS+FAST-S,87.0,0.8782608695652174,11.7,0.12717391304347828,0,1,30
Gson,13,STARTS+FAST-P,87.0,0.8771739130434781,11.8,0.12826086956521743,0,1,30
Gson,13,STARTS+DPT,87.0,0.08768115942028984,84.43333333333334,0.9177536231884061,0,1,30
Gson,13,Fastazi-S,82.0,0.9355072463768112,6.433333333333334,0.06992753623188407,0,1,30
Gson,13,Fastazi-P,82.0,0.9438405797101447,5.666666666666667,0.06159420289855073,0,1,30
Gson,13,Random,92.0,0.5097826086956521,45.6,0.49565217391304345,0,1,30
Gson,14,Ekstazi,79.0,0.6014336917562723,37.56666666666667,0.40394265232974913,0,1,30
Gson,14,FAST,93.0,0.3985663082437274,56.43333333333333,0.6068100358422938,0,1,30
Gson,14,Ekstazi+dpt,79.0,0.5146953405017922,45.63333333333333,0.49068100358422934,0,1,30
Gson,14,DPT,93.0,0.5157706093189965,45.53333333333333,0.489605734767025,0,1,30
Gson,14,STARTS,89.0,0.5265232974910394,44.53333333333333,0.47885304659498207,0,1,30
Gson,14,STARTS+FAST-S,89.0,0.43727598566308234,52.833333333333336,0.5681003584229392,0,1,30
Gson,14,STARTS+FAST-P,89.0,0.4397849462365589,52.6,0.5655913978494624,0,1,30
Gson,14,STARTS+DPT,89.0,0.5157706093189964,45.53333333333333,0.4896057347670251,0,1,30
Gson,14,Fastazi-S,79.0,0.49605734767025084,47.36666666666667,0.5093189964157706,0,1,30
Gson,14,Fastazi-P,79.0,0.5132616487455196,45.766666666666666,0.49211469534050184,0,1,30
Gson,14,Random,93.0,0.4458781362007168,52.03333333333333,0.5594982078853046,0,1,30
Gson,15,Ekstazi,67.0,0.585663082437276,39.03333333333333,0.41971326164874545,0,1,30
Gson,15,FAST,93.0,0.23405017921146967,71.73333333333333,0.7713261648745521,0,1,30
Gson,15,Ekstazi+dpt,67.0,0.2849462365591399,67.0,0.7204301075268815,0,1,30
Gson,15,DPT,93.0,0.022580645161290307,91.4,0.9827956989247312,0,1,30
