Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Gson,1,10%,Ekstazi,0.08974358974358973,7.0,0.06196581196581197,NA,NA,28,0,2
Gson,1,10%,FAST,0.08974358974358973,7.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,10%,Ekstazi+dpt,0.08974358974358973,7.0,0.0,NA,NA,30,0,0
Gson,1,10%,DPT,0.08974358974358973,7.0,0.0,NA,NA,30,0,0
Gson,1,10%,STARTS,0.08974358974358973,7.0,0.06324786324786325,NA,NA,28,0,2
Gson,1,10%,STARTS+FAST-S,0.08974358974358973,7.0,0.9224358974358974,NA,NA,1,0,29
Gson,1,10%,STARTS+FAST-P,0.08974358974358973,7.0,0.9241452991452992,NA,NA,1,0,29
Gson,1,10%,STARTS+DPT,0.08974358974358973,7.0,0.0,NA,NA,30,0,0
Gson,1,10%,Fastazi-S,0.08974358974358973,7.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,10%,Fastazi-P,0.08974358974358973,7.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,10%,Random,0.08974358974358973,7.0,0.09380341880341879,NA,NA,27,0,3
Gson,1,20%,Ekstazi,0.19230769230769243,15.0,0.06196581196581197,NA,NA,28,0,2
Gson,1,20%,FAST,0.19230769230769243,15.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,20%,Ekstazi+dpt,0.19230769230769243,15.0,0.0,NA,NA,30,0,0
Gson,1,20%,DPT,0.19230769230769243,15.0,0.0,NA,NA,30,0,0
Gson,1,20%,STARTS,0.19230769230769243,15.0,0.06324786324786325,NA,NA,28,0,2
Gson,1,20%,STARTS+FAST-S,0.19230769230769243,15.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,20%,STARTS+FAST-P,0.19230769230769243,15.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,20%,STARTS+DPT,0.19230769230769243,15.0,0.0,NA,NA,30,0,0
Gson,1,20%,Fastazi-S,0.19230769230769243,15.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,20%,Fastazi-P,0.19230769230769243,15.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,20%,Random,0.19230769230769243,15.0,0.2061965811965812,NA,NA,23,0,7
Gson,1,25%,Ekstazi,0.24358974358974358,19.0,0.11410256410256409,NA,NA,26,0,4
Gson,1,25%,FAST,0.24358974358974358,19.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,25%,Ekstazi+dpt,0.24358974358974358,19.0,0.0,NA,NA,30,0,0
Gson,1,25%,DPT,0.24358974358974358,19.0,0.0,NA,NA,30,0,0
Gson,1,25%,STARTS,0.24358974358974358,19.0,0.11538461538461538,NA,NA,26,0,4
Gson,1,25%,STARTS+FAST-S,0.24358974358974358,19.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,25%,STARTS+FAST-P,0.24358974358974358,19.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,25%,STARTS+DPT,0.24358974358974358,19.0,0.0,NA,NA,30,0,0
Gson,1,25%,Fastazi-S,0.24358974358974358,19.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,25%,Fastazi-P,0.24358974358974358,19.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,25%,Random,0.24358974358974358,19.0,0.2061965811965812,NA,NA,23,0,7
Gson,1,30%,Ekstazi,0.2948717948717948,23.0,0.18782051282051285,NA,NA,23,0,7
Gson,1,30%,FAST,0.2948717948717948,23.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,30%,Ekstazi+dpt,0.2948717948717948,23.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,30%,DPT,0.2948717948717948,23.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,30%,STARTS,0.2948717948717948,23.0,0.23568376068376068,NA,NA,21,0,9
Gson,1,30%,STARTS+FAST-S,0.2948717948717948,23.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,30%,STARTS+FAST-P,0.2948717948717948,23.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,30%,STARTS+DPT,0.2948717948717948,23.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,30%,Fastazi-S,0.2948717948717948,23.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,30%,Fastazi-P,0.2948717948717948,23.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,30%,Random,0.2948717948717948,23.0,0.2061965811965812,NA,NA,23,0,7
Gson,1,40%,Ekstazi,0.39743589743589763,31.0,0.2525641025641026,NA,NA,20,0,10
Gson,1,40%,FAST,0.39743589743589763,31.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,40%,Ekstazi+dpt,0.39743589743589763,31.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,40%,DPT,0.39743589743589763,31.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,40%,STARTS,0.39743589743589763,31.0,0.3211538461538462,NA,NA,17,0,13
Gson,1,40%,STARTS+FAST-S,0.39743589743589763,31.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,40%,STARTS+FAST-P,0.39743589743589763,31.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,40%,STARTS+DPT,0.39743589743589763,31.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,40%,Fastazi-S,0.39743589743589763,31.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,40%,Fastazi-P,0.39743589743589763,31.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,40%,Random,0.39743589743589763,31.0,0.2722222222222222,NA,NA,20,0,10
Gson,1,50%,Ekstazi,0.5,39.0,0.27029914529914534,NA,NA,19,0,11
Gson,1,50%,FAST,0.5,39.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,50%,Ekstazi+dpt,0.5,39.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,50%,DPT,0.5,39.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,50%,STARTS,0.5,39.0,0.4318376068376069,NA,NA,11,0,19
Gson,1,50%,STARTS+FAST-S,0.5,39.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,50%,STARTS+FAST-P,0.5,39.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,50%,STARTS+DPT,0.5,39.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,50%,Fastazi-S,0.5,39.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,50%,Fastazi-P,0.5,39.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,50%,Random,0.5,39.0,0.32713675213675214,NA,NA,17,0,13
Gson,1,60%,Ekstazi,0.5897435897435896,46.0,0.3335470085470085,NA,NA,15,0,15
Gson,1,60%,FAST,0.5897435897435896,46.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,60%,Ekstazi+dpt,0.5897435897435896,46.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,60%,DPT,0.5897435897435896,46.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,60%,STARTS,0.5897435897435896,46.0,0.4634615384615384,NA,NA,9,0,21
Gson,1,60%,STARTS+FAST-S,0.5897435897435896,46.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,60%,STARTS+FAST-P,0.5897435897435896,46.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,60%,STARTS+DPT,0.5897435897435896,46.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,60%,Fastazi-S,0.5897435897435896,46.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,60%,Fastazi-P,0.5897435897435896,46.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,60%,Random,0.5897435897435896,46.0,0.4034188034188034,NA,NA,12,0,18
Gson,1,70%,Ekstazi,0.6923076923076923,54.0,0.3666666666666666,NA,NA,12,0,18
Gson,1,70%,FAST,0.6923076923076923,54.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,70%,Ekstazi+dpt,0.6923076923076923,54.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,70%,DPT,0.6923076923076923,54.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,70%,STARTS,0.6923076923076923,54.0,0.47393162393162397,NA,NA,8,0,22
Gson,1,70%,STARTS+FAST-S,0.6923076923076923,54.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,70%,STARTS+FAST-P,0.6923076923076923,54.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,70%,STARTS+DPT,0.6923076923076923,54.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,70%,Fastazi-S,0.6923076923076923,54.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,70%,Fastazi-P,0.6923076923076923,54.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,70%,Random,0.6923076923076923,54.0,0.4713675213675212,NA,NA,6,0,24
Gson,1,75%,Ekstazi,0.7435897435897442,58.0,0.3929487179487179,NA,NA,9,0,21
Gson,1,75%,FAST,0.7435897435897442,58.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,75%,Ekstazi+dpt,0.7435897435897442,58.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,75%,DPT,0.7435897435897442,58.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,75%,STARTS,0.7435897435897442,58.0,0.5023504273504273,NA,NA,5,0,25
Gson,1,75%,STARTS+FAST-S,0.7435897435897442,58.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,75%,STARTS+FAST-P,0.7435897435897442,58.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,75%,STARTS+DPT,0.7435897435897442,58.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,75%,Fastazi-S,0.7435897435897442,58.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,75%,Fastazi-P,0.7435897435897442,58.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,75%,Random,0.7435897435897442,58.0,0.48055555555555535,NA,NA,5,0,25
Gson,1,80%,Ekstazi,0.7948717948717953,62.0,0.3929487179487179,NA,NA,9,0,21
Gson,1,80%,FAST,0.7948717948717953,62.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,80%,Ekstazi+dpt,0.7948717948717953,62.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,80%,DPT,0.7948717948717953,62.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,80%,STARTS,0.7948717948717953,62.0,0.5177350427350427,NA,NA,3,0,27
Gson,1,80%,STARTS+FAST-S,0.7948717948717953,62.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,80%,STARTS+FAST-P,0.7948717948717953,62.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,80%,STARTS+DPT,0.7948717948717953,62.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,80%,Fastazi-S,0.7948717948717953,62.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,80%,Fastazi-P,0.7948717948717953,62.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,80%,Random,0.7948717948717953,62.0,0.48055555555555535,NA,NA,5,0,25
Gson,1,90%,Ekstazi,0.8974358974358977,70.0,0.41794871794871796,NA,NA,4,0,26
Gson,1,90%,FAST,0.8974358974358977,70.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,90%,Ekstazi+dpt,0.8974358974358977,70.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,90%,DPT,0.8974358974358977,70.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,90%,STARTS,0.8974358974358977,70.0,0.5292735042735043,NA,NA,1,0,29
Gson,1,90%,STARTS+FAST-S,0.8974358974358977,70.0,0.9521367521367521,4.233333333333333,0.05427350427350429,0,1,30
Gson,1,90%,STARTS+FAST-P,0.8974358974358977,70.0,0.9538461538461539,4.1,0.05256410256410258,0,1,30
Gson,1,90%,STARTS+DPT,0.8974358974358977,70.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,90%,Fastazi-S,0.8974358974358977,70.0,0.9688034188034191,2.933333333333333,0.0376068376068376,0,1,30
Gson,1,90%,Fastazi-P,0.8974358974358977,70.0,0.9679487179487183,3.0,0.03846153846153846,0,1,30
Gson,1,90%,Random,0.8974358974358977,70.0,0.5019230769230768,NA,NA,1,0,29
Gson,1,100%,Ekstazi,0.987179487179488,77.0,0.4256410256410256,45.3,0.5807692307692309,0,1,30
Gson,1,100%,FAST,1.0,78.0,0.9653846153846156,3.2,0.04102564102564103,0,1,30
Gson,1,100%,Ekstazi+dpt,0.987179487179488,77.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,100%,DPT,1.0,78.0,0.7371794871794876,21.0,0.2692307692307692,0,1,30
Gson,1,100%,STARTS,1.0,78.0,0.5299145299145299,37.166666666666664,0.47649572649572647,0,1,30
