Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Gson,1,1,10%,Ekstazi,7,0.0,NA,NA
Gson,1,1,10%,FAST,7,0.967948717948718,3,0.038461538461538464
Gson,1,1,10%,Ekstazi+dpt,7,0.0,NA,NA
Gson,1,1,10%,DPT,7,0.0,NA,NA
Gson,1,1,10%,STARTS,7,0.0,NA,NA
Gson,1,1,10%,STARTS+FAST-S,7,0.9166666666666666,7,0.08974358974358974
Gson,1,1,10%,STARTS+FAST-P,7,0.9807692307692307,2,0.02564102564102564
Gson,1,1,10%,STARTS+DPT,7,0.0,NA,NA
Gson,1,1,10%,Fastazi-S,7,0.967948717948718,3,0.038461538461538464
Gson,1,1,10%,Fastazi-P,7,0.967948717948718,3,0.038461538461538464
Gson,1,1,10%,Random,7,0.0,NA,NA
Gson,1,1,20%,Ekstazi,15,0.0,NA,NA
Gson,1,1,20%,FAST,15,0.967948717948718,3,0.038461538461538464
Gson,1,1,20%,Ekstazi+dpt,15,0.0,NA,NA
Gson,1,1,20%,DPT,15,0.0,NA,NA
Gson,1,1,20%,STARTS,15,0.0,NA,NA
Gson,1,1,20%,STARTS+FAST-S,15,0.9166666666666666,7,0.08974358974358974
Gson,1,1,20%,STARTS+FAST-P,15,0.9807692307692307,2,0.02564102564102564
Gson,1,1,20%,STARTS+DPT,15,0.0,NA,NA
Gson,1,1,20%,Fastazi-S,15,0.967948717948718,3,0.038461538461538464
Gson,1,1,20%,Fastazi-P,15,0.967948717948718,3,0.038461538461538464
Gson,1,1,20%,Random,15,0.0,NA,NA
Gson,1,1,25%,Ekstazi,19,0.0,NA,NA
Gson,1,1,25%,FAST,19,0.967948717948718,3,0.038461538461538464
Gson,1,1,25%,Ekstazi+dpt,19,0.0,NA,NA
Gson,1,1,25%,DPT,19,0.0,NA,NA
Gson,1,1,25%,STARTS,19,0.0,NA,NA
Gson,1,1,25%,STARTS+FAST-S,19,0.9166666666666666,7,0.08974358974358974
Gson,1,1,25%,STARTS+FAST-P,19,0.9807692307692307,2,0.02564102564102564
Gson,1,1,25%,STARTS+DPT,19,0.0,NA,NA
Gson,1,1,25%,Fastazi-S,19,0.967948717948718,3,0.038461538461538464
Gson,1,1,25%,Fastazi-P,19,0.967948717948718,3,0.038461538461538464
Gson,1,1,25%,Random,19,0.0,NA,NA
Gson,1,1,30%,Ekstazi,23,0.0,NA,NA
Gson,1,1,30%,FAST,23,0.967948717948718,3,0.038461538461538464
Gson,1,1,30%,Ekstazi+dpt,23,0.7371794871794872,21,0.2692307692307692
Gson,1,1,30%,DPT,23,0.7371794871794872,21,0.2692307692307692
Gson,1,1,30%,STARTS,23,0.7243589743589743,22,0.28205128205128205
Gson,1,1,30%,STARTS+FAST-S,23,0.9166666666666666,7,0.08974358974358974
Gson,1,1,30%,STARTS+FAST-P,23,0.9807692307692307,2,0.02564102564102564
Gson,1,1,30%,STARTS+DPT,23,0.7371794871794872,21,0.2692307692307692
Gson,1,1,30%,Fastazi-S,23,0.967948717948718,3,0.038461538461538464
Gson,1,1,30%,Fastazi-P,23,0.967948717948718,3,0.038461538461538464
Gson,1,1,30%,Random,23,0.0,NA,NA
Gson,1,1,40%,Ekstazi,30,0.0,NA,NA
Gson,1,1,40%,FAST,30,0.967948717948718,3,0.038461538461538464
Gson,1,1,40%,Ekstazi+dpt,30,0.7371794871794872,21,0.2692307692307692
Gson,1,1,40%,DPT,30,0.7371794871794872,21,0.2692307692307692
Gson,1,1,40%,STARTS,30,0.7243589743589743,22,0.28205128205128205
Gson,1,1,40%,STARTS+FAST-S,30,0.9166666666666666,7,0.08974358974358974
Gson,1,1,40%,STARTS+FAST-P,30,0.9807692307692307,2,0.02564102564102564
Gson,1,1,40%,STARTS+DPT,30,0.7371794871794872,21,0.2692307692307692
Gson,1,1,40%,Fastazi-S,30,0.967948717948718,3,0.038461538461538464
Gson,1,1,40%,Fastazi-P,30,0.967948717948718,3,0.038461538461538464
Gson,1,1,40%,Random,30,0.0,NA,NA
Gson,1,1,50%,Ekstazi,38,0.532051282051282,37,0.47435897435897434
Gson,1,1,50%,FAST,38,0.967948717948718,3,0.038461538461538464
Gson,1,1,50%,Ekstazi+dpt,38,0.7371794871794872,21,0.2692307692307692
Gson,1,1,50%,DPT,38,0.7371794871794872,21,0.2692307692307692
Gson,1,1,50%,STARTS,38,0.7243589743589743,22,0.28205128205128205
Gson,1,1,50%,STARTS+FAST-S,38,0.9166666666666666,7,0.08974358974358974
Gson,1,1,50%,STARTS+FAST-P,38,0.9807692307692307,2,0.02564102564102564
Gson,1,1,50%,STARTS+DPT,38,0.7371794871794872,21,0.2692307692307692
Gson,1,1,50%,Fastazi-S,38,0.967948717948718,3,0.038461538461538464
Gson,1,1,50%,Fastazi-P,38,0.967948717948718,3,0.038461538461538464
Gson,1,1,50%,Random,38,0.0,NA,NA
Gson,1,1,60%,Ekstazi,46,0.532051282051282,37,0.47435897435897434
Gson,1,1,60%,FAST,46,0.967948717948718,3,0.038461538461538464
Gson,1,1,60%,Ekstazi+dpt,46,0.7371794871794872,21,0.2692307692307692
Gson,1,1,60%,DPT,46,0.7371794871794872,21,0.2692307692307692
Gson,1,1,60%,STARTS,46,0.7243589743589743,22,0.28205128205128205
Gson,1,1,60%,STARTS+FAST-S,46,0.9166666666666666,7,0.08974358974358974
Gson,1,1,60%,STARTS+FAST-P,46,0.9807692307692307,2,0.02564102564102564
Gson,1,1,60%,STARTS+DPT,46,0.7371794871794872,21,0.2692307692307692
Gson,1,1,60%,Fastazi-S,46,0.967948717948718,3,0.038461538461538464
Gson,1,1,60%,Fastazi-P,46,0.967948717948718,3,0.038461538461538464
Gson,1,1,60%,Random,46,0.0,NA,NA
Gson,1,1,70%,Ekstazi,53,0.532051282051282,37,0.47435897435897434
Gson,1,1,70%,FAST,53,0.967948717948718,3,0.038461538461538464
Gson,1,1,70%,Ekstazi+dpt,53,0.7371794871794872,21,0.2692307692307692
