Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Jsoup,1,10%,Ekstazi,0.08333333333333333,1.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,10%,FAST,0.08333333333333333,1.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,10%,Ekstazi+dpt,0.08333333333333333,1.0,0.0,NA,NA,30,0,0
Jsoup,1,10%,DPT,0.08333333333333333,1.0,0.0,NA,NA,30,0,0
Jsoup,1,10%,STARTS,0.08333333333333333,1.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,10%,STARTS+FAST-S,0.08333333333333333,1.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,10%,STARTS+FAST-P,0.08333333333333333,1.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,10%,STARTS+DPT,0.08333333333333333,1.0,0.0,NA,NA,30,0,0
Jsoup,1,10%,Fastazi-S,0.08333333333333333,1.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,10%,Fastazi-P,0.08333333333333333,1.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,10%,Random,0.08333333333333333,1.0,0.12777777777777777,NA,NA,26,0,4
Jsoup,1,20%,Ekstazi,0.16666666666666666,2.0,0.15138888888888888,NA,NA,25,0,5
Jsoup,1,20%,FAST,0.16666666666666666,2.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,20%,Ekstazi+dpt,0.16666666666666666,2.0,0.0,NA,NA,30,0,0
Jsoup,1,20%,DPT,0.16666666666666666,2.0,0.0,NA,NA,30,0,0
Jsoup,1,20%,STARTS,0.16666666666666666,2.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,20%,STARTS+FAST-S,0.16666666666666666,2.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,20%,STARTS+FAST-P,0.16666666666666666,2.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,20%,STARTS+DPT,0.16666666666666666,2.0,0.0,NA,NA,30,0,0
Jsoup,1,20%,Fastazi-S,0.16666666666666666,2.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,20%,Fastazi-P,0.16666666666666666,2.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,20%,Random,0.16666666666666666,2.0,0.18611111111111106,NA,NA,24,0,6
Jsoup,1,25%,Ekstazi,0.25,3.0,0.2569444444444445,NA,NA,21,0,9
Jsoup,1,25%,FAST,0.25,3.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,25%,Ekstazi+dpt,0.25,3.0,0.0,NA,NA,30,0,0
Jsoup,1,25%,DPT,0.25,3.0,0.0,NA,NA,30,0,0
Jsoup,1,25%,STARTS,0.25,3.0,0.11666666666666667,NA,NA,26,0,4
Jsoup,1,25%,STARTS+FAST-S,0.25,3.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,25%,STARTS+FAST-P,0.25,3.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,25%,STARTS+DPT,0.25,3.0,0.0,NA,NA,30,0,0
Jsoup,1,25%,Fastazi-S,0.25,3.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,25%,Fastazi-P,0.25,3.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,25%,Random,0.25,3.0,0.2652777777777777,NA,NA,21,0,9
Jsoup,1,30%,Ekstazi,0.25,3.0,0.2569444444444445,NA,NA,21,0,9
Jsoup,1,30%,FAST,0.25,3.0,0.03194444444444444,NA,NA,29,0,1
Jsoup,1,30%,Ekstazi+dpt,0.25,3.0,0.0,NA,NA,30,0,0
Jsoup,1,30%,DPT,0.25,3.0,0.0,NA,NA,30,0,0
Jsoup,1,30%,STARTS,0.25,3.0,0.11666666666666667,NA,NA,26,0,4
Jsoup,1,30%,STARTS+FAST-S,0.25,3.0,0.06388888888888888,NA,NA,28,0,2
Jsoup,1,30%,STARTS+FAST-P,0.25,3.0,0.03194444444444444,NA,NA,29,0,1
