Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Jsoup,1,1,10%,Ekstazi,1,0.0,NA,NA
Jsoup,1,1,10%,FAST,1,0.0,NA,NA
Jsoup,1,1,10%,Ekstazi+dpt,1,0.0,NA,NA
Jsoup,1,1,10%,DPT,1,0.0,NA,NA
Jsoup,1,1,10%,STARTS,1,0.0,NA,NA
Jsoup,1,1,10%,STARTS+FAST-S,1,0.0,NA,NA
Jsoup,1,1,10%,STARTS+FAST-P,1,0.0,NA,NA
Jsoup,1,1,10%,STARTS+DPT,1,0.0,NA,NA
Jsoup,1,1,10%,Fastazi-S,1,0.0,NA,NA
Jsoup,1,1,10%,Fastazi-P,1,0.0,NA,NA
Jsoup,1,1,10%,Random,1,0.0,NA,NA
Jsoup,1,1,20%,Ekstazi,2,0.0,NA,NA
Jsoup,1,1,20%,FAST,2,0.0,NA,NA
Jsoup,1,1,20%,Ekstazi+dpt,2,0.0,NA,NA
Jsoup,1,1,20%,DPT,2,0.0,NA,NA
Jsoup,1,1,20%,STARTS,2,0.0,NA,NA
Jsoup,1,1,20%,STARTS+FAST-S,2,0.0,NA,NA
Jsoup,1,1,20%,STARTS+FAST-P,2,0.0,NA,NA
Jsoup,1,1,20%,STARTS+DPT,2,0.0,NA,NA
Jsoup,1,1,20%,Fastazi-S,2,0.0,NA,NA
Jsoup,1,1,20%,Fastazi-P,2,0.0,NA,NA
Jsoup,1,1,20%,Random,2,0.0,NA,NA
Jsoup,1,1,25%,Ekstazi,3,0.0,NA,NA
Jsoup,1,1,25%,FAST,3,0.0,NA,NA
Jsoup,1,1,25%,Ekstazi+dpt,3,0.0,NA,NA
Jsoup,1,1,25%,DPT,3,0.0,NA,NA
Jsoup,1,1,25%,STARTS,3,0.0,NA,NA
Jsoup,1,1,25%,STARTS+FAST-S,3,0.0,NA,NA
Jsoup,1,1,25%,STARTS+FAST-P,3,0.0,NA,NA
Jsoup,1,1,25%,STARTS+DPT,3,0.0,NA,NA
Jsoup,1,1,25%,Fastazi-S,3,0.0,NA,NA
Jsoup,1,1,25%,Fastazi-P,3,0.0,NA,NA
Jsoup,1,1,25%,Random,3,0.0,NA,NA
Jsoup,1,1,30%,Ekstazi,3,0.0,NA,NA
Jsoup,1,1,30%,FAST,3,0.0,NA,NA
Jsoup,1,1,30%,Ekstazi+dpt,3,0.0,NA,NA
Jsoup,1,1,30%,DPT,3,0.0,NA,NA
Jsoup,1,1,30%,STARTS,3,0.0,NA,NA
Jsoup,1,1,30%,STARTS+FAST-S,3,0.0,NA,NA
Jsoup,1,1,30%,STARTS+FAST-P,3,0.0,NA,NA
Jsoup,1,1,30%,STARTS+DPT,3,0.0,NA,NA
Jsoup,1,1,30%,Fastazi-S,3,0.0,NA,NA
Jsoup,1,1,30%,Fastazi-P,3,0.0,NA,NA
Jsoup,1,1,30%,Random,3,0.0,NA,NA
Jsoup,1,1,40%,Ekstazi,4,0.0,NA,NA
Jsoup,1,1,40%,FAST,4,0.0,NA,NA
Jsoup,1,1,40%,Ekstazi+dpt,4,0.0,NA,NA
Jsoup,1,1,40%,DPT,4,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,40%,STARTS,4,0.0,NA,NA
Jsoup,1,1,40%,STARTS+FAST-S,4,0.0,NA,NA
Jsoup,1,1,40%,STARTS+FAST-P,4,0.0,NA,NA
Jsoup,1,1,40%,STARTS+DPT,4,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,40%,Fastazi-S,4,0.0,NA,NA
Jsoup,1,1,40%,Fastazi-P,4,0.0,NA,NA
Jsoup,1,1,40%,Random,4,0.0,NA,NA
Jsoup,1,1,50%,Ekstazi,6,0.0,NA,NA
Jsoup,1,1,50%,FAST,6,0.0,NA,NA
Jsoup,1,1,50%,Ekstazi+dpt,6,0.5416666666666666,6,0.5
Jsoup,1,1,50%,DPT,6,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,50%,STARTS,6,0.5416666666666666,6,0.5
Jsoup,1,1,50%,STARTS+FAST-S,6,0.0,NA,NA
Jsoup,1,1,50%,STARTS+FAST-P,6,0.0,NA,NA
Jsoup,1,1,50%,STARTS+DPT,6,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,50%,Fastazi-S,6,0.0,NA,NA
Jsoup,1,1,50%,Fastazi-P,6,0.0,NA,NA
Jsoup,1,1,50%,Random,6,0.6249999999999999,5,0.4166666666666667
Jsoup,1,1,60%,Ekstazi,7,0.0,NA,NA
Jsoup,1,1,60%,FAST,7,0.0,NA,NA
Jsoup,1,1,60%,Ekstazi+dpt,7,0.5416666666666666,6,0.5
Jsoup,1,1,60%,DPT,7,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,60%,STARTS,7,0.5416666666666666,6,0.5
Jsoup,1,1,60%,STARTS+FAST-S,7,0.4583333333333333,7,0.5833333333333334
Jsoup,1,1,60%,STARTS+FAST-P,7,0.0,NA,NA
Jsoup,1,1,60%,STARTS+DPT,7,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,60%,Fastazi-S,7,0.0,NA,NA
Jsoup,1,1,60%,Fastazi-P,7,0.0,NA,NA
Jsoup,1,1,60%,Random,7,0.6249999999999999,5,0.4166666666666667
Jsoup,1,1,70%,Ekstazi,8,0.0,NA,NA
Jsoup,1,1,70%,FAST,8,0.0,NA,NA
Jsoup,1,1,70%,Ekstazi+dpt,8,0.5416666666666666,6,0.5
Jsoup,1,1,70%,DPT,8,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,70%,STARTS,8,0.5416666666666666,6,0.5
Jsoup,1,1,70%,STARTS+FAST-S,8,0.4583333333333333,7,0.5833333333333334
Jsoup,1,1,70%,STARTS+FAST-P,8,0.37500000000000006,8,0.6666666666666666
Jsoup,1,1,70%,STARTS+DPT,8,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,70%,Fastazi-S,8,0.0,NA,NA
Jsoup,1,1,70%,Fastazi-P,8,0.0,NA,NA
Jsoup,1,1,70%,Random,8,0.6249999999999999,5,0.4166666666666667
