Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Jsoup,1,1,Ekstazi,12,0.041666666666666664,12,1.0
Jsoup,1,1,FAST,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,1,Ekstazi+dpt,12,0.5416666666666666,6,0.5
Jsoup,1,1,DPT,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,STARTS,12,0.5416666666666666,6,0.5
Jsoup,1,1,STARTS+FAST-S,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,1,STARTS+FAST-P,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,1,STARTS+DPT,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,1,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,1,Fastazi-P,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,1,Random,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,2,Ekstazi,12,0.875,2,0.16666666666666666
Jsoup,1,2,FAST,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,2,Ekstazi+dpt,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,2,DPT,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,2,STARTS,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,2,STARTS+FAST-S,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,2,STARTS+FAST-P,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,2,STARTS+DPT,12,0.5416666666666666,6,0.5
Jsoup,1,2,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,2,Fastazi-P,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,2,Random,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,3,Ekstazi,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,3,FAST,12,0.041666666666666664,12,1.0
Jsoup,1,3,Ekstazi+dpt,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,3,DPT,12,0.5416666666666666,6,0.5
Jsoup,1,3,STARTS,12,0.2916666666666667,9,0.75
Jsoup,1,3,STARTS+FAST-S,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,3,STARTS+FAST-P,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,3,STARTS+DPT,12,0.5416666666666666,6,0.5
Jsoup,1,3,Fastazi-S,12,0.041666666666666664,12,1.0
Jsoup,1,3,Fastazi-P,12,0.041666666666666664,12,1.0
Jsoup,1,3,Random,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,4,Ekstazi,12,0.5416666666666666,6,0.5
Jsoup,1,4,FAST,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,4,Ekstazi+dpt,12,0.5416666666666666,6,0.5
Jsoup,1,4,DPT,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,4,STARTS,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,4,STARTS+FAST-S,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,4,STARTS+FAST-P,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,4,STARTS+DPT,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,4,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,4,Fastazi-P,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,4,Random,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,5,Ekstazi,12,0.7916666666666666,3,0.25
Jsoup,1,5,FAST,12,0.9583333333333333,1,0.08333333333333333
Jsoup,1,5,Ekstazi+dpt,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,5,DPT,12,0.5416666666666666,6,0.5
Jsoup,1,5,STARTS,12,0.5416666666666666,6,0.5
Jsoup,1,5,STARTS+FAST-S,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,5,STARTS+FAST-P,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,5,STARTS+DPT,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,5,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,5,Fastazi-P,12,0.9583333333333333,1,0.08333333333333333
Jsoup,1,5,Random,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,6,Ekstazi,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,6,FAST,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,6,Ekstazi+dpt,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,6,DPT,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,6,STARTS,12,0.041666666666666664,12,1.0
Jsoup,1,6,STARTS+FAST-S,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,6,STARTS+FAST-P,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,6,STARTS+DPT,12,0.5416666666666666,6,0.5
Jsoup,1,6,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,6,Fastazi-P,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,6,Random,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,7,Ekstazi,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,7,FAST,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,7,Ekstazi+dpt,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,7,DPT,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,7,STARTS,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,7,STARTS+FAST-S,12,0.9583333333333333,1,0.08333333333333333
Jsoup,1,7,STARTS+FAST-P,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,7,STARTS+DPT,12,0.7083333333333334,4,0.3333333333333333
Jsoup,1,7,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,7,Fastazi-P,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,7,Random,12,0.12500000000000003,11,0.9166666666666666
Jsoup,1,8,Ekstazi,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,8,FAST,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,8,Ekstazi+dpt,12,0.6249999999999999,5,0.4166666666666667
Jsoup,1,8,DPT,12,0.5416666666666666,6,0.5
Jsoup,1,8,STARTS,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,8,STARTS+FAST-S,12,0.4583333333333333,7,0.5833333333333334
Jsoup,1,8,STARTS+FAST-P,12,0.37500000000000006,8,0.6666666666666666
Jsoup,1,8,STARTS+DPT,12,0.5416666666666666,6,0.5
Jsoup,1,8,Fastazi-S,12,0.2083333333333333,10,0.8333333333333334
Jsoup,1,8,Fastazi-P,12,0.2083333333333333,10,0.8333333333333334
