Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
JxPath,19,1,Ekstazi,27,0.5888888888888888,19,0.4222222222222222
JxPath,19,1,FAST,45,0.7444444444444445,12,0.26666666666666666
JxPath,19,1,Ekstazi+dpt,27,0.5222222222222221,22,0.4888888888888889
JxPath,19,1,DPT,45,0.5,23,0.5111111111111111
JxPath,19,1,STARTS,27,0.7888888888888889,10,0.2222222222222222
JxPath,19,1,STARTS+FAST-S,27,0.5888888888888888,19,0.4222222222222222
JxPath,19,1,STARTS+FAST-P,27,0.611111111111111,18,0.4
JxPath,19,1,STARTS+DPT,27,0.5,23,0.5111111111111111
JxPath,19,1,Fastazi-S,27,0.7888888888888889,10,0.2222222222222222
JxPath,19,1,Fastazi-P,27,0.8111111111111111,9,0.2
JxPath,19,1,Random,45,0.8999999999999999,5,0.1111111111111111
JxPath,19,2,Ekstazi,27,0.5888888888888888,19,0.4222222222222222
JxPath,19,2,FAST,45,0.7,14,0.3111111111111111
JxPath,19,2,Ekstazi+dpt,27,0.5,23,0.5111111111111111
JxPath,19,2,DPT,45,0.5222222222222221,22,0.4888888888888889
JxPath,19,2,STARTS,27,0.9222222222222222,4,0.08888888888888889
JxPath,19,2,STARTS+FAST-S,27,0.611111111111111,18,0.4
JxPath,19,2,STARTS+FAST-P,27,0.5888888888888888,19,0.4222222222222222
JxPath,19,2,STARTS+DPT,27,0.5,23,0.5111111111111111
JxPath,19,2,Fastazi-S,27,0.8111111111111111,9,0.2
JxPath,19,2,Fastazi-P,27,0.7666666666666666,11,0.24444444444444444
JxPath,19,2,Random,45,0.9888888888888888,1,0.022222222222222223
JxPath,19,3,Ekstazi,27,0.4333333333333334,26,0.5777777777777777
JxPath,19,3,FAST,45,0.7444444444444445,12,0.26666666666666666
JxPath,19,3,Ekstazi+dpt,27,0.5222222222222221,22,0.4888888888888889
JxPath,19,3,DPT,45,0.5,23,0.5111111111111111
JxPath,19,3,STARTS,27,0.7,14,0.3111111111111111
JxPath,19,3,STARTS+FAST-S,27,0.5666666666666667,20,0.4444444444444444
JxPath,19,3,STARTS+FAST-P,27,0.611111111111111,18,0.4
JxPath,19,3,STARTS+DPT,27,0.5,23,0.5111111111111111
JxPath,19,3,Fastazi-S,27,0.8111111111111111,9,0.2
JxPath,19,3,Fastazi-P,27,0.7888888888888889,10,0.2222222222222222
JxPath,19,3,Random,45,0.16666666666666666,38,0.8444444444444444
JxPath,19,4,Ekstazi,27,0.8111111111111111,9,0.2
JxPath,19,4,FAST,45,0.7222222222222222,13,0.28888888888888886
JxPath,19,4,Ekstazi+dpt,27,0.5222222222222221,22,0.4888888888888889
JxPath,19,4,DPT,45,0.5,23,0.5111111111111111
JxPath,19,4,STARTS,27,0.4333333333333334,26,0.5777777777777777
JxPath,19,4,STARTS+FAST-S,27,0.5666666666666667,20,0.4444444444444444
JxPath,19,4,STARTS+FAST-P,27,0.611111111111111,18,0.4
JxPath,19,4,STARTS+DPT,27,0.5,23,0.5111111111111111
JxPath,19,4,Fastazi-S,27,0.8111111111111111,9,0.2
JxPath,19,4,Fastazi-P,27,0.8111111111111111,9,0.2
JxPath,19,4,Random,45,0.32222222222222224,31,0.6888888888888889
JxPath,19,5,Ekstazi,27,0.8333333333333333,8,0.17777777777777778
JxPath,19,5,FAST,45,0.7222222222222222,13,0.28888888888888886
JxPath,19,5,Ekstazi+dpt,27,0.5222222222222221,22,0.4888888888888889
JxPath,19,5,DPT,45,0.5,23,0.5111111111111111
JxPath,19,5,STARTS,27,0.6555555555555554,16,0.35555555555555557
JxPath,19,5,STARTS+FAST-S,27,0.5888888888888888,19,0.4222222222222222
JxPath,19,5,STARTS+FAST-P,27,0.5888888888888888,19,0.4222222222222222
JxPath,19,5,STARTS+DPT,27,0.5,23,0.5111111111111111
JxPath,19,5,Fastazi-S,27,0.7444444444444445,12,0.26666666666666666
JxPath,19,5,Fastazi-P,27,0.7888888888888889,10,0.2222222222222222
JxPath,19,5,Random,45,0.5,23,0.5111111111111111
