Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Lang,14,10%,Ekstazi,0.09090909090909087,8.0,0.062121212121212126,NA,NA,28,0,2
Lang,14,10%,FAST,0.09090909090909087,8.0,0.0,NA,NA,30,0,0
Lang,14,10%,Ekstazi+dpt,0.09090909090909087,8.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,10%,DPT,0.09090909090909087,8.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,10%,STARTS,0.09090909090909087,8.0,0.03125000000000001,NA,NA,29,0,1
Lang,14,10%,STARTS+FAST-S,0.09090909090909087,8.0,0.0662878787878788,NA,NA,28,0,2
Lang,14,10%,STARTS+FAST-P,0.09090909090909087,8.0,0.0,NA,NA,30,0,0
Lang,14,10%,STARTS+DPT,0.09090909090909087,8.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,10%,Fastazi-S,0.09090909090909087,8.0,0.0,NA,NA,30,0,0
Lang,14,10%,Fastazi-P,0.09090909090909087,8.0,0.0,NA,NA,30,0,0
Lang,14,10%,Random,0.09090909090909087,8.0,0.09450757575757575,NA,NA,27,0,3
Lang,14,20%,Ekstazi,0.19318181818181826,17.0,0.1471590909090909,NA,NA,25,0,5
Lang,14,20%,FAST,0.19318181818181826,17.0,0.0,NA,NA,30,0,0
Lang,14,20%,Ekstazi+dpt,0.19318181818181826,17.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,20%,DPT,0.19318181818181826,17.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,20%,STARTS,0.19318181818181826,17.0,0.11969696969696969,NA,NA,26,0,4
Lang,14,20%,STARTS+FAST-S,0.19318181818181826,17.0,0.0662878787878788,NA,NA,28,0,2
Lang,14,20%,STARTS+FAST-P,0.19318181818181826,17.0,0.0,NA,NA,30,0,0
Lang,14,20%,STARTS+DPT,0.19318181818181826,17.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,20%,Fastazi-S,0.19318181818181826,17.0,0.0,NA,NA,30,0,0
Lang,14,20%,Fastazi-P,0.19318181818181826,17.0,0.0,NA,NA,30,0,0
Lang,14,20%,Random,0.19318181818181826,17.0,0.12234848484848486,NA,NA,26,0,4
Lang,14,25%,Ekstazi,0.25,22.0,0.2528409090909091,NA,NA,21,0,9
Lang,14,25%,FAST,0.25,22.0,0.0,NA,NA,30,0,0
Lang,14,25%,Ekstazi+dpt,0.25,22.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,25%,DPT,0.25,22.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,25%,STARTS,0.25,22.0,0.11969696969696969,NA,NA,26,0,4
Lang,14,25%,STARTS+FAST-S,0.25,22.0,0.0662878787878788,NA,NA,28,0,2
Lang,14,25%,STARTS+FAST-P,0.25,22.0,0.0,NA,NA,30,0,0
Lang,14,25%,STARTS+DPT,0.25,22.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,25%,Fastazi-S,0.25,22.0,0.0,NA,NA,30,0,0
Lang,14,25%,Fastazi-P,0.25,22.0,0.0,NA,NA,30,0,0
Lang,14,25%,Random,0.25,22.0,0.17424242424242423,NA,NA,24,0,6
Lang,14,30%,Ekstazi,0.29545454545454564,26.0,0.27765151515151515,NA,NA,20,0,10
Lang,14,30%,FAST,0.29545454545454564,26.0,0.0,NA,NA,30,0,0
