Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Lang,14,1,10%,Ekstazi,8,0.0,NA,NA
Lang,14,1,10%,FAST,8,0.0,NA,NA
Lang,14,1,10%,Ekstazi+dpt,8,0.9375000000000001,6,0.06818181818181818
Lang,14,1,10%,DPT,8,0.9261363636363636,7,0.07954545454545454
Lang,14,1,10%,STARTS,8,0.0,NA,NA
Lang,14,1,10%,STARTS+FAST-S,8,0.0,NA,NA
Lang,14,1,10%,STARTS+FAST-P,8,0.0,NA,NA
Lang,14,1,10%,STARTS+DPT,8,0.9375000000000001,6,0.06818181818181818
Lang,14,1,10%,Fastazi-S,8,0.0,NA,NA
Lang,14,1,10%,Fastazi-P,8,0.0,NA,NA
Lang,14,1,10%,Random,8,0.0,NA,NA
Lang,14,1,20%,Ekstazi,17,0.0,NA,NA
Lang,14,1,20%,FAST,17,0.0,NA,NA
Lang,14,1,20%,Ekstazi+dpt,17,0.9375000000000001,6,0.06818181818181818
Lang,14,1,20%,DPT,17,0.9261363636363636,7,0.07954545454545454
Lang,14,1,20%,STARTS,17,0.0,NA,NA
Lang,14,1,20%,STARTS+FAST-S,17,0.0,NA,NA
Lang,14,1,20%,STARTS+FAST-P,17,0.0,NA,NA
Lang,14,1,20%,STARTS+DPT,17,0.9375000000000001,6,0.06818181818181818
Lang,14,1,20%,Fastazi-S,17,0.0,NA,NA
Lang,14,1,20%,Fastazi-P,17,0.0,NA,NA
Lang,14,1,20%,Random,17,0.0,NA,NA
Lang,14,1,25%,Ekstazi,22,0.0,NA,NA
Lang,14,1,25%,FAST,22,0.0,NA,NA
Lang,14,1,25%,Ekstazi+dpt,22,0.9375000000000001,6,0.06818181818181818
Lang,14,1,25%,DPT,22,0.9261363636363636,7,0.07954545454545454
Lang,14,1,25%,STARTS,22,0.0,NA,NA
Lang,14,1,25%,STARTS+FAST-S,22,0.0,NA,NA
Lang,14,1,25%,STARTS+FAST-P,22,0.0,NA,NA
Lang,14,1,25%,STARTS+DPT,22,0.9375000000000001,6,0.06818181818181818
Lang,14,1,25%,Fastazi-S,22,0.0,NA,NA
Lang,14,1,25%,Fastazi-P,22,0.0,NA,NA
Lang,14,1,25%,Random,22,0.0,NA,NA
Lang,14,1,30%,Ekstazi,26,0.0,NA,NA
Lang,14,1,30%,FAST,26,0.0,NA,NA
Lang,14,1,30%,Ekstazi+dpt,26,0.9375000000000001,6,0.06818181818181818
Lang,14,1,30%,DPT,26,0.9261363636363636,7,0.07954545454545454
Lang,14,1,30%,STARTS,26,0.0,NA,NA
Lang,14,1,30%,STARTS+FAST-S,26,0.0,NA,NA
Lang,14,1,30%,STARTS+FAST-P,26,0.0,NA,NA
Lang,14,1,30%,STARTS+DPT,26,0.9375000000000001,6,0.06818181818181818
Lang,14,1,30%,Fastazi-S,26,0.0,NA,NA
