Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Lang,14,1,Ekstazi,87,0.07386363636363641,82,0.9318181818181818
Lang,14,1,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,1,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,1,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,1,STARTS,88,0.15340909090909088,75,0.8522727272727273
Lang,14,1,STARTS+FAST-S,88,0.35795454545454547,57,0.6477272727272727
Lang,14,1,STARTS+FAST-P,88,0.3693181818181818,56,0.6363636363636364
Lang,14,1,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,1,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,1,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,1,Random,88,0.33522727272727276,59,0.6704545454545454
Lang,14,2,Ekstazi,87,0.7784090909090909,20,0.22727272727272727
Lang,14,2,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,2,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,2,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,2,STARTS,88,0.43749999999999994,50,0.5681818181818182
Lang,14,2,STARTS+FAST-S,88,0.9943181818181819,1,0.011363636363636364
Lang,14,2,STARTS+FAST-P,88,0.3693181818181818,56,0.6363636363636364
Lang,14,2,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,2,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,2,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,2,Random,88,0.9261363636363636,7,0.07954545454545454
Lang,14,3,Ekstazi,87,0.3465909090909091,58,0.6590909090909091
Lang,14,3,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,3,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,3,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,3,STARTS,88,0.08522727272727276,81,0.9204545454545454
Lang,14,3,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,3,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,3,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,3,Fastazi-S,87,0.18749999999999994,72,0.8181818181818182
Lang,14,3,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,3,Random,88,0.5625000000000001,39,0.4431818181818182
Lang,14,4,Ekstazi,87,0.4488636363636364,49,0.5568181818181818
Lang,14,4,FAST,88,0.1761363636363636,73,0.8295454545454546
Lang,14,4,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,4,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,4,STARTS,88,0.6420454545454546,32,0.36363636363636365
Lang,14,4,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,4,STARTS+FAST-P,88,0.3693181818181818,56,0.6363636363636364
Lang,14,4,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,4,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,4,Fastazi-P,87,0.18749999999999994,72,0.8181818181818182
Lang,14,4,Random,88,0.5625000000000001,39,0.4431818181818182
Lang,14,5,Ekstazi,87,0.08522727272727276,81,0.9204545454545454
Lang,14,5,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,5,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,5,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,5,STARTS,88,0.33522727272727276,59,0.6704545454545454
Lang,14,5,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,5,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,5,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,5,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,5,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,5,Random,88,0.24431818181818182,67,0.7613636363636364
Lang,14,6,Ekstazi,87,0.3465909090909091,58,0.6590909090909091
Lang,14,6,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,6,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,6,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,6,STARTS,88,0.3465909090909091,58,0.6590909090909091
Lang,14,6,STARTS+FAST-S,88,0.3693181818181818,56,0.6363636363636364
Lang,14,6,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,6,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,6,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,6,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,6,Random,88,0.6420454545454546,32,0.36363636363636365
Lang,14,7,Ekstazi,87,0.8238636363636364,16,0.18181818181818182
Lang,14,7,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,7,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,7,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,7,STARTS,88,0.005681818181818182,88,1.0
Lang,14,7,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,7,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,7,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,7,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,7,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,7,Random,88,0.5738636363636364,38,0.4318181818181818
Lang,14,8,Ekstazi,87,0.5170454545454546,43,0.48863636363636365
Lang,14,8,FAST,88,0.1761363636363636,73,0.8295454545454546
Lang,14,8,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,8,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,8,STARTS,88,0.2784090909090909,64,0.7272727272727273
Lang,14,8,STARTS+FAST-S,88,0.3693181818181818,56,0.6363636363636364
Lang,14,8,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,8,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,8,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,8,Fastazi-P,87,0.18749999999999994,72,0.8181818181818182
Lang,14,8,Random,88,0.24431818181818182,67,0.7613636363636364
Lang,14,9,Ekstazi,87,0.24431818181818182,67,0.7613636363636364
Lang,14,9,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,9,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,9,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,9,STARTS,88,0.6647727272727274,30,0.3409090909090909
Lang,14,9,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,9,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,9,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,9,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,9,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,9,Random,88,0.4943181818181818,45,0.5113636363636364
Lang,14,10,Ekstazi,87,0.5965909090909091,36,0.4090909090909091
Lang,14,10,FAST,88,0.1761363636363636,73,0.8295454545454546
Lang,14,10,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,10,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,10,STARTS,88,0.33522727272727276,59,0.6704545454545454
Lang,14,10,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,10,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,10,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,10,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,10,Fastazi-P,87,0.18749999999999994,72,0.8181818181818182
Lang,14,10,Random,88,0.2556818181818182,66,0.75
Lang,14,11,Ekstazi,87,0.43749999999999994,50,0.5681818181818182
Lang,14,11,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,11,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,11,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,11,STARTS,88,0.28977272727272724,63,0.7159090909090909
Lang,14,11,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,11,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,11,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,11,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,11,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,11,Random,88,0.8352272727272728,15,0.17045454545454544
Lang,14,12,Ekstazi,87,0.15340909090909088,75,0.8522727272727273
Lang,14,12,FAST,88,0.1761363636363636,73,0.8295454545454546
Lang,14,12,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,12,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,12,STARTS,88,0.5965909090909091,36,0.4090909090909091
Lang,14,12,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,12,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,12,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,12,Fastazi-S,87,0.18749999999999994,72,0.8181818181818182
Lang,14,12,Fastazi-P,87,0.18749999999999994,72,0.8181818181818182
Lang,14,12,Random,88,0.11931818181818182,78,0.8863636363636364
Lang,14,13,Ekstazi,87,0.8011363636363636,18,0.20454545454545456
Lang,14,13,FAST,88,0.1761363636363636,73,0.8295454545454546
Lang,14,13,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,13,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,13,STARTS,88,0.8579545454545455,13,0.14772727272727273
Lang,14,13,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,13,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,13,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,13,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,13,Fastazi-P,87,0.18749999999999994,72,0.8181818181818182
Lang,14,13,Random,88,0.10795454545454547,79,0.8977272727272727
Lang,14,14,Ekstazi,87,0.15340909090909088,75,0.8522727272727273
Lang,14,14,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,14,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,14,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,14,STARTS,88,0.11931818181818182,78,0.8863636363636364
Lang,14,14,STARTS+FAST-S,88,0.3806818181818182,55,0.625
Lang,14,14,STARTS+FAST-P,88,0.3693181818181818,56,0.6363636363636364
Lang,14,14,STARTS+DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,14,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,14,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,14,Random,88,0.9147727272727273,8,0.09090909090909091
Lang,14,15,Ekstazi,87,0.11931818181818182,78,0.8863636363636364
Lang,14,15,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,15,Ekstazi+dpt,87,0.9261363636363636,7,0.07954545454545454
Lang,14,15,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,15,STARTS,88,0.5738636363636364,38,0.4318181818181818
Lang,14,15,STARTS+FAST-S,88,0.3693181818181818,56,0.6363636363636364
Lang,14,15,STARTS+FAST-P,88,0.3693181818181818,56,0.6363636363636364
Lang,14,15,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,15,Fastazi-S,87,0.18749999999999994,72,0.8181818181818182
Lang,14,15,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,15,Random,88,0.7897727272727273,19,0.2159090909090909
Lang,14,16,Ekstazi,87,0.7897727272727273,19,0.2159090909090909
Lang,14,16,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,16,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,16,DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,16,STARTS,88,0.8920454545454546,10,0.11363636363636363
Lang,14,16,STARTS+FAST-S,88,0.3693181818181818,56,0.6363636363636364
Lang,14,16,STARTS+FAST-P,88,0.3806818181818182,55,0.625
Lang,14,16,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
