Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Math,5,10%,Ekstazi,0.09615384615384621,15.0,0.06410256410256411,NA,NA,28,0,2
Math,5,10%,FAST,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,Ekstazi+dpt,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,DPT,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,STARTS,0.09615384615384621,15.0,0.09497863247863249,NA,NA,27,0,3
Math,5,10%,STARTS+FAST-S,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,STARTS+FAST-P,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,STARTS+DPT,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,Fastazi-S,0.09615384615384621,15.0,0.06645299145299145,NA,NA,28,0,2
Math,5,10%,Fastazi-P,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,10%,Random,0.09615384615384621,15.0,0.0,NA,NA,30,0,0
Math,5,20%,Ekstazi,0.19871794871794882,31.0,0.12115384615384617,NA,NA,26,0,4
Math,5,20%,FAST,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,Ekstazi+dpt,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,DPT,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,STARTS,0.19871794871794882,31.0,0.18034188034188034,NA,NA,24,0,6
Math,5,20%,STARTS+FAST-S,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,STARTS+FAST-P,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,STARTS+DPT,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,Fastazi-S,0.19871794871794882,31.0,0.06645299145299145,NA,NA,28,0,2
Math,5,20%,Fastazi-P,0.19871794871794882,31.0,0.0,NA,NA,30,0,0
Math,5,20%,Random,0.19871794871794882,31.0,0.11196581196581198,NA,NA,26,0,4
Math,5,25%,Ekstazi,0.25,39.0,0.19903846153846155,NA,NA,23,0,7
Math,5,25%,FAST,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,Ekstazi+dpt,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,DPT,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,STARTS,0.25,39.0,0.20694444444444443,NA,NA,23,0,7
Math,5,25%,STARTS+FAST-S,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,STARTS+FAST-P,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,STARTS+DPT,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,Fastazi-S,0.25,39.0,0.06645299145299145,NA,NA,28,0,2
Math,5,25%,Fastazi-P,0.25,39.0,0.0,NA,NA,30,0,0
Math,5,25%,Random,0.25,39.0,0.11196581196581198,NA,NA,26,0,4
Math,5,30%,Ekstazi,0.2948717948717948,46.0,0.24797008547008545,NA,NA,21,0,9
Math,5,30%,FAST,0.2948717948717948,46.0,0.0,NA,NA,30,0,0
Math,5,30%,Ekstazi+dpt,0.2948717948717948,46.0,0.0,NA,NA,30,0,0
Math,5,30%,DPT,0.2948717948717948,46.0,0.0,NA,NA,30,0,0
Math,5,30%,STARTS,0.2948717948717948,46.0,0.27948717948717944,NA,NA,20,0,10
