Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Math,5,10%,Ekstazi,0.08333333333333333,13.0,0.06410256410256411,NA,NA,28,0,2
Math,5,10%,FAST,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,Ekstazi+dpt,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,DPT,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,STARTS,0.08333333333333333,13.0,0.06452991452991454,NA,NA,28,0,2
Math,5,10%,STARTS+FAST-S,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,STARTS+FAST-P,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,STARTS+DPT,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,Fastazi-S,0.08333333333333333,13.0,0.06645299145299145,NA,NA,28,0,2
Math,5,10%,Fastazi-P,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,10%,Random,0.08333333333333333,13.0,0.0,NA,NA,30,0,0
Math,5,20%,Ekstazi,0.17307692307692307,27.0,0.12115384615384617,NA,NA,26,0,4
Math,5,20%,FAST,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,Ekstazi+dpt,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,DPT,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,STARTS,0.17307692307692307,27.0,0.15352564102564104,NA,NA,25,0,5
Math,5,20%,STARTS+FAST-S,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,STARTS+FAST-P,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,STARTS+DPT,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,Fastazi-S,0.17307692307692307,27.0,0.06645299145299145,NA,NA,28,0,2
Math,5,20%,Fastazi-P,0.17307692307692307,27.0,0.0,NA,NA,30,0,0
Math,5,20%,Random,0.17307692307692307,27.0,0.08493589743589744,NA,NA,27,0,3
Math,5,25%,Ekstazi,0.21794871794871803,34.0,0.14775641025641026,NA,NA,25,0,5
Math,5,25%,FAST,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,Ekstazi+dpt,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,DPT,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,STARTS,0.21794871794871803,34.0,0.20694444444444443,NA,NA,23,0,7
Math,5,25%,STARTS+FAST-S,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,STARTS+FAST-P,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,STARTS+DPT,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,Fastazi-S,0.21794871794871803,34.0,0.06645299145299145,NA,NA,28,0,2
Math,5,25%,Fastazi-P,0.21794871794871803,34.0,0.0,NA,NA,30,0,0
Math,5,25%,Random,0.21794871794871803,34.0,0.11196581196581198,NA,NA,26,0,4
Math,5,30%,Ekstazi,0.26282051282051283,41.0,0.22371794871794873,NA,NA,22,0,8
Math,5,30%,FAST,0.26282051282051283,41.0,0.0,NA,NA,30,0,0
Math,5,30%,Ekstazi+dpt,0.26282051282051283,41.0,0.0,NA,NA,30,0,0
Math,5,30%,DPT,0.26282051282051283,41.0,0.0,NA,NA,30,0,0
Math,5,30%,STARTS,0.26282051282051283,41.0,0.20694444444444443,NA,NA,23,0,7
Math,5,30%,STARTS+FAST-S,0.26282051282051283,41.0,0.0,NA,NA,30,0,0
Math,5,30%,STARTS+FAST-P,0.26282051282051283,41.0,0.0,NA,NA,30,0,0
