Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Math,5,1,10%,Ekstazi,13,0.0,NA,NA
Math,5,1,10%,FAST,13,0.0,NA,NA
Math,5,1,10%,Ekstazi+dpt,13,0.0,NA,NA
Math,5,1,10%,DPT,13,0.0,NA,NA
Math,5,1,10%,STARTS,13,0.0,NA,NA
Math,5,1,10%,STARTS+FAST-S,13,0.0,NA,NA
Math,5,1,10%,STARTS+FAST-P,13,0.0,NA,NA
Math,5,1,10%,STARTS+DPT,13,0.0,NA,NA
Math,5,1,10%,Fastazi-S,13,0.0,NA,NA
Math,5,1,10%,Fastazi-P,13,0.0,NA,NA
Math,5,1,10%,Random,13,0.0,NA,NA
Math,5,1,20%,Ekstazi,27,0.842948717948718,25,0.16025641025641027
Math,5,1,20%,FAST,27,0.0,NA,NA
Math,5,1,20%,Ekstazi+dpt,27,0.0,NA,NA
Math,5,1,20%,DPT,27,0.0,NA,NA
Math,5,1,20%,STARTS,27,0.0,NA,NA
Math,5,1,20%,STARTS+FAST-S,27,0.0,NA,NA
Math,5,1,20%,STARTS+FAST-P,27,0.0,NA,NA
Math,5,1,20%,STARTS+DPT,27,0.0,NA,NA
Math,5,1,20%,Fastazi-S,27,0.0,NA,NA
Math,5,1,20%,Fastazi-P,27,0.0,NA,NA
Math,5,1,20%,Random,27,0.0,NA,NA
Math,5,1,25%,Ekstazi,34,0.842948717948718,25,0.16025641025641027
Math,5,1,25%,FAST,34,0.0,NA,NA
Math,5,1,25%,Ekstazi+dpt,34,0.0,NA,NA
Math,5,1,25%,DPT,34,0.0,NA,NA
Math,5,1,25%,STARTS,34,0.0,NA,NA
Math,5,1,25%,STARTS+FAST-S,34,0.0,NA,NA
Math,5,1,25%,STARTS+FAST-P,34,0.0,NA,NA
Math,5,1,25%,STARTS+DPT,34,0.0,NA,NA
Math,5,1,25%,Fastazi-S,34,0.0,NA,NA
Math,5,1,25%,Fastazi-P,34,0.0,NA,NA
Math,5,1,25%,Random,34,0.0,NA,NA
Math,5,1,30%,Ekstazi,41,0.842948717948718,25,0.16025641025641027
Math,5,1,30%,FAST,41,0.0,NA,NA
Math,5,1,30%,Ekstazi+dpt,41,0.0,NA,NA
Math,5,1,30%,DPT,41,0.0,NA,NA
Math,5,1,30%,STARTS,41,0.0,NA,NA
Math,5,1,30%,STARTS+FAST-S,41,0.0,NA,NA
Math,5,1,30%,STARTS+FAST-P,41,0.0,NA,NA
Math,5,1,30%,STARTS+DPT,41,0.0,NA,NA
Math,5,1,30%,Fastazi-S,41,0.0,NA,NA
Math,5,1,30%,Fastazi-P,41,0.0,NA,NA
Math,5,1,30%,Random,41,0.0,NA,NA
Math,5,1,40%,Ekstazi,54,0.842948717948718,25,0.16025641025641027
Math,5,1,40%,FAST,54,0.0,NA,NA
Math,5,1,40%,Ekstazi+dpt,54,0.0,NA,NA
Math,5,1,40%,DPT,54,0.0,NA,NA
Math,5,1,40%,STARTS,54,0.0,NA,NA
Math,5,1,40%,STARTS+FAST-S,54,0.0,NA,NA
Math,5,1,40%,STARTS+FAST-P,54,0.0,NA,NA
Math,5,1,40%,STARTS+DPT,54,0.0,NA,NA
Math,5,1,40%,Fastazi-S,54,0.657051282051282,54,0.34615384615384615
Math,5,1,40%,Fastazi-P,54,0.0,NA,NA
Math,5,1,40%,Random,54,0.0,NA,NA
Math,5,1,50%,Ekstazi,68,0.842948717948718,25,0.16025641025641027
Math,5,1,50%,FAST,68,0.5737179487179487,67,0.42948717948717946
Math,5,1,50%,Ekstazi+dpt,68,0.0,NA,NA
Math,5,1,50%,DPT,68,0.0,NA,NA
Math,5,1,50%,STARTS,68,0.6121794871794872,61,0.391025641025641
Math,5,1,50%,STARTS+FAST-S,68,0.6442307692307692,56,0.358974358974359
Math,5,1,50%,STARTS+FAST-P,68,0.625,59,0.3782051282051282
Math,5,1,50%,STARTS+DPT,68,0.0,NA,NA
Math,5,1,50%,Fastazi-S,68,0.657051282051282,54,0.34615384615384615
Math,5,1,50%,Fastazi-P,68,0.625,59,0.3782051282051282
Math,5,1,50%,Random,68,0.0,NA,NA
Math,5,1,60%,Ekstazi,82,0.842948717948718,25,0.16025641025641027
Math,5,1,60%,FAST,82,0.5737179487179487,67,0.42948717948717946
Math,5,1,60%,Ekstazi+dpt,82,0.0,NA,NA
Math,5,1,60%,DPT,82,0.0,NA,NA
