Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Math,5,1,Ekstazi,137,0.842948717948718,25,0.16025641025641027
Math,5,1,FAST,156,0.5737179487179487,67,0.42948717948717946
Math,5,1,Ekstazi+dpt,137,0.3108974358974359,108,0.6923076923076923
Math,5,1,DPT,156,0.29166666666666663,111,0.7115384615384616
Math,5,1,STARTS,137,0.6121794871794872,61,0.391025641025641
Math,5,1,STARTS+FAST-S,137,0.6442307692307692,56,0.358974358974359
Math,5,1,STARTS+FAST-P,137,0.625,59,0.3782051282051282
Math,5,1,STARTS+DPT,137,0.3044871794871795,109,0.6987179487179487
Math,5,1,Fastazi-S,137,0.657051282051282,54,0.34615384615384615
Math,5,1,Fastazi-P,137,0.625,59,0.3782051282051282
Math,5,1,Random,156,0.3621794871794871,100,0.6410256410256411
Math,5,2,Ekstazi,137,0.7596153846153846,38,0.24358974358974358
Math,5,2,FAST,156,0.5801282051282051,66,0.4230769230769231
Math,5,2,Ekstazi+dpt,137,0.27243589743589747,114,0.7307692307692307
Math,5,2,DPT,156,0.298076923076923,110,0.7051282051282052
Math,5,2,STARTS,137,0.34935897435897434,102,0.6538461538461539
Math,5,2,STARTS+FAST-S,137,0.6442307692307692,56,0.358974358974359
Math,5,2,STARTS+FAST-P,137,0.625,59,0.3782051282051282
Math,5,2,STARTS+DPT,137,0.3044871794871795,109,0.6987179487179487
Math,5,2,Fastazi-S,137,0.657051282051282,54,0.34615384615384615
Math,5,2,Fastazi-P,137,0.625,59,0.3782051282051282
Math,5,2,Random,156,0.28525641025641024,112,0.717948717948718
Math,5,3,Ekstazi,137,0.7980769230769231,32,0.20512820512820512
Math,5,3,FAST,156,0.5801282051282051,66,0.4230769230769231
Math,5,3,Ekstazi+dpt,137,0.27243589743589747,114,0.7307692307692307
Math,5,3,DPT,156,0.3044871794871795,109,0.6987179487179487
Math,5,3,STARTS,137,0.7980769230769231,32,0.20512820512820512
Math,5,3,STARTS+FAST-S,137,0.6442307692307692,56,0.358974358974359
Math,5,3,STARTS+FAST-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,3,STARTS+DPT,137,0.29166666666666663,111,0.7115384615384616
Math,5,3,Fastazi-S,137,0.657051282051282,54,0.34615384615384615
Math,5,3,Fastazi-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,3,Random,156,0.6378205128205128,57,0.36538461538461536
Math,5,4,Ekstazi,137,0.3814102564102564,97,0.6217948717948718
Math,5,4,FAST,156,0.5801282051282051,66,0.4230769230769231
Math,5,4,Ekstazi+dpt,137,0.29166666666666663,111,0.7115384615384616
Math,5,4,DPT,156,0.28525641025641024,112,0.717948717948718
Math,5,4,STARTS,137,0.26602564102564097,115,0.7371794871794872
Math,5,4,STARTS+FAST-S,137,0.6378205128205128,57,0.36538461538461536
Math,5,4,STARTS+FAST-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,4,STARTS+DPT,137,0.27884615384615385,113,0.7243589743589743
Math,5,4,Fastazi-S,137,0.657051282051282,54,0.34615384615384615
Math,5,4,Fastazi-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,4,Random,156,0.6057692307692308,62,0.3974358974358974
Math,5,5,Ekstazi,137,0.19551282051282048,126,0.8076923076923077
Math,5,5,FAST,156,0.5801282051282051,66,0.4230769230769231
Math,5,5,Ekstazi+dpt,137,0.27243589743589747,114,0.7307692307692307
Math,5,5,DPT,156,0.27884615384615385,113,0.7243589743589743
Math,5,5,STARTS,137,0.19551282051282048,126,0.8076923076923077
Math,5,5,STARTS+FAST-S,137,0.6378205128205128,57,0.36538461538461536
Math,5,5,STARTS+FAST-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,5,STARTS+DPT,137,0.3044871794871795,109,0.6987179487179487
Math,5,5,Fastazi-S,137,0.6634615384615384,53,0.33974358974358976
Math,5,5,Fastazi-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,5,Random,156,0.5865384615384615,65,0.4166666666666667
Math,5,6,Ekstazi,137,0.5480769230769231,71,0.4551282051282051
Math,5,6,FAST,156,0.5801282051282051,66,0.4230769230769231
Math,5,6,Ekstazi+dpt,137,0.27884615384615385,113,0.7243589743589743
Math,5,6,DPT,156,0.27243589743589747,114,0.7307692307692307
Math,5,6,STARTS,137,0.8942307692307692,17,0.10897435897435898
Math,5,6,STARTS+FAST-S,137,0.6378205128205128,57,0.36538461538461536
Math,5,6,STARTS+FAST-P,137,0.625,59,0.3782051282051282
Math,5,6,STARTS+DPT,137,0.298076923076923,110,0.7051282051282052
Math,5,6,Fastazi-S,137,0.657051282051282,54,0.34615384615384615
Math,5,6,Fastazi-P,137,0.6314102564102564,58,0.3717948717948718
Math,5,6,Random,156,0.19551282051282048,126,0.8076923076923077
Math,5,7,Ekstazi,137,0.5865384615384615,65,0.4166666666666667
Math,5,7,FAST,156,0.5737179487179487,67,0.42948717948717946
Math,5,7,Ekstazi+dpt,137,0.3044871794871795,109,0.6987179487179487
Math,5,7,DPT,156,0.27884615384615385,113,0.7243589743589743
Math,5,7,STARTS,137,0.27243589743589747,114,0.7307692307692307
Math,5,7,STARTS+FAST-S,137,0.6442307692307692,56,0.358974358974359
Math,5,7,STARTS+FAST-P,137,0.6314102564102564,58,0.3717948717948718
