Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Time,4,1,10%,Ekstazi,14,0.0,NA,NA
Time,4,1,10%,FAST,14,0.0,NA,NA
Time,4,1,10%,Ekstazi+dpt,14,0.0,NA,NA
Time,4,1,10%,DPT,14,0.0,NA,NA
Time,4,1,10%,STARTS,1,0.0,NA,NA
Time,4,1,10%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,10%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,10%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,10%,Fastazi-S,14,0.0,NA,NA
Time,4,1,10%,Fastazi-P,14,0.0,NA,NA
Time,4,1,10%,Random,14,0.0,NA,NA
Time,4,1,20%,Ekstazi,29,0.0,NA,NA
Time,4,1,20%,FAST,29,0.0,NA,NA
Time,4,1,20%,Ekstazi+dpt,29,0.8809523809523809,18,0.12244897959183673
Time,4,1,20%,DPT,29,0.8809523809523809,18,0.12244897959183673
Time,4,1,20%,STARTS,1,0.0,NA,NA
Time,4,1,20%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,20%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,20%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,20%,Fastazi-S,29,0.0,NA,NA
Time,4,1,20%,Fastazi-P,29,0.0,NA,NA
Time,4,1,20%,Random,29,0.0,NA,NA
Time,4,1,25%,Ekstazi,36,0.0,NA,NA
Time,4,1,25%,FAST,36,0.0,NA,NA
Time,4,1,25%,Ekstazi+dpt,36,0.8809523809523809,18,0.12244897959183673
Time,4,1,25%,DPT,36,0.8809523809523809,18,0.12244897959183673
Time,4,1,25%,STARTS,1,0.0,NA,NA
Time,4,1,25%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,25%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,25%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,25%,Fastazi-S,36,0.0,NA,NA
Time,4,1,25%,Fastazi-P,36,0.0,NA,NA
Time,4,1,25%,Random,36,0.0,NA,NA
Time,4,1,30%,Ekstazi,44,0.0,NA,NA
Time,4,1,30%,FAST,44,0.0,NA,NA
Time,4,1,30%,Ekstazi+dpt,44,0.8809523809523809,18,0.12244897959183673
Time,4,1,30%,DPT,44,0.8809523809523809,18,0.12244897959183673
Time,4,1,30%,STARTS,1,0.0,NA,NA
Time,4,1,30%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,30%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,30%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,30%,Fastazi-S,44,0.0,NA,NA
Time,4,1,30%,Fastazi-P,44,0.0,NA,NA
Time,4,1,30%,Random,44,0.0,NA,NA
Time,4,1,40%,Ekstazi,58,0.0,NA,NA
Time,4,1,40%,FAST,58,0.0,NA,NA
Time,4,1,40%,Ekstazi+dpt,58,0.8809523809523809,18,0.12244897959183673
Time,4,1,40%,DPT,58,0.8809523809523809,18,0.12244897959183673
Time,4,1,40%,STARTS,1,0.0,NA,NA
Time,4,1,40%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,40%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,40%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,40%,Fastazi-S,58,0.0,NA,NA
Time,4,1,40%,Fastazi-P,58,0.0,NA,NA
Time,4,1,40%,Random,58,0.6360544217687075,54,0.3673469387755102
Time,4,1,50%,Ekstazi,73,0.5204081632653061,71,0.48299319727891155
Time,4,1,50%,FAST,73,0.0,NA,NA
Time,4,1,50%,Ekstazi+dpt,73,0.8809523809523809,18,0.12244897959183673
Time,4,1,50%,DPT,73,0.8809523809523809,18,0.12244897959183673
Time,4,1,50%,STARTS,1,0.0,NA,NA
Time,4,1,50%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,50%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,50%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,50%,Fastazi-S,73,0.0,NA,NA
Time,4,1,50%,Fastazi-P,73,0.0,NA,NA
Time,4,1,50%,Random,73,0.6360544217687075,54,0.3673469387755102
Time,4,1,60%,Ekstazi,88,0.5204081632653061,71,0.48299319727891155
Time,4,1,60%,FAST,88,0.0,NA,NA
Time,4,1,60%,Ekstazi+dpt,88,0.8809523809523809,18,0.12244897959183673
Time,4,1,60%,DPT,88,0.8809523809523809,18,0.12244897959183673
Time,4,1,60%,STARTS,1,0.0,NA,NA
Time,4,1,60%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,60%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,60%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,60%,Fastazi-S,88,0.0,NA,NA
Time,4,1,60%,Fastazi-P,88,0.0,NA,NA
Time,4,1,60%,Random,88,0.6360544217687075,54,0.3673469387755102
Time,4,1,70%,Ekstazi,102,0.5204081632653061,71,0.48299319727891155
Time,4,1,70%,FAST,102,0.0,NA,NA
Time,4,1,70%,Ekstazi+dpt,102,0.8809523809523809,18,0.12244897959183673
Time,4,1,70%,DPT,102,0.8809523809523809,18,0.12244897959183673
Time,4,1,70%,STARTS,1,0.0,NA,NA
Time,4,1,70%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,70%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,70%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,70%,Fastazi-S,102,0.0,NA,NA
Time,4,1,70%,Fastazi-P,102,0.0,NA,NA
Time,4,1,70%,Random,102,0.6360544217687075,54,0.3673469387755102
Time,4,1,75%,Ekstazi,110,0.5204081632653061,71,0.48299319727891155
Time,4,1,75%,FAST,110,0.0,NA,NA
Time,4,1,75%,Ekstazi+dpt,110,0.8809523809523809,18,0.12244897959183673
Time,4,1,75%,DPT,110,0.8809523809523809,18,0.12244897959183673
Time,4,1,75%,STARTS,1,0.0,NA,NA
Time,4,1,75%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,75%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,75%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,75%,Fastazi-S,110,0.2551020408163265,110,0.7482993197278912
Time,4,1,75%,Fastazi-P,110,0.0,NA,NA
Time,4,1,75%,Random,110,0.6360544217687075,54,0.3673469387755102
Time,4,1,80%,Ekstazi,117,0.5204081632653061,71,0.48299319727891155
Time,4,1,80%,FAST,117,0.0,NA,NA
Time,4,1,80%,Ekstazi+dpt,117,0.8809523809523809,18,0.12244897959183673
Time,4,1,80%,DPT,117,0.8809523809523809,18,0.12244897959183673
Time,4,1,80%,STARTS,1,0.0,NA,NA
Time,4,1,80%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,80%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,80%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,80%,Fastazi-S,117,0.2551020408163265,110,0.7482993197278912
Time,4,1,80%,Fastazi-P,117,0.23469387755102045,113,0.7687074829931972
Time,4,1,80%,Random,117,0.6360544217687075,54,0.3673469387755102
Time,4,1,90%,Ekstazi,121,0.5204081632653061,71,0.48299319727891155
Time,4,1,90%,FAST,132,0.0,NA,NA
Time,4,1,90%,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,1,90%,DPT,132,0.8809523809523809,18,0.12244897959183673
Time,4,1,90%,STARTS,1,0.0,NA,NA
Time,4,1,90%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,90%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,90%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,90%,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,1,90%,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,1,90%,Random,132,0.6360544217687075,54,0.3673469387755102
Time,4,1,100%,Ekstazi,121,0.5204081632653061,71,0.48299319727891155
Time,4,1,100%,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,1,100%,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,1,100%,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,1,100%,STARTS,1,0.0,NA,NA
Time,4,1,100%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,100%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,100%,STARTS+DPT,1,0.0,NA,NA
Time,4,1,100%,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,1,100%,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,1,100%,Random,147,0.6360544217687075,54,0.3673469387755102
Time,4,2,10%,Ekstazi,14,0.0,NA,NA
Time,4,2,10%,FAST,14,0.0,NA,NA
Time,4,2,10%,Ekstazi+dpt,14,0.0,NA,NA
Time,4,2,10%,DPT,14,0.0,NA,NA
Time,4,2,10%,STARTS,1,0.0,NA,NA
Time,4,2,10%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,2,10%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,2,10%,STARTS+DPT,1,0.0,NA,NA
Time,4,2,10%,Fastazi-S,14,0.0,NA,NA
Time,4,2,10%,Fastazi-P,14,0.0,NA,NA
Time,4,2,10%,Random,14,0.0,NA,NA
Time,4,2,20%,Ekstazi,29,0.0,NA,NA
Time,4,2,20%,FAST,29,0.0,NA,NA
Time,4,2,20%,Ekstazi+dpt,29,0.8809523809523809,18,0.12244897959183673
Time,4,2,20%,DPT,29,0.8809523809523809,18,0.12244897959183673
Time,4,2,20%,STARTS,1,0.0,NA,NA
Time,4,2,20%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,2,20%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,2,20%,STARTS+DPT,1,0.0,NA,NA
Time,4,2,20%,Fastazi-S,29,0.0,NA,NA
Time,4,2,20%,Fastazi-P,29,0.0,NA,NA
Time,4,2,20%,Random,29,0.0,NA,NA
Time,4,2,25%,Ekstazi,36,0.0,NA,NA
Time,4,2,25%,FAST,36,0.0,NA,NA
Time,4,2,25%,Ekstazi+dpt,36,0.8809523809523809,18,0.12244897959183673
Time,4,2,25%,DPT,36,0.8809523809523809,18,0.12244897959183673
Time,4,2,25%,STARTS,1,0.0,NA,NA
Time,4,2,25%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,2,25%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,2,25%,STARTS+DPT,1,0.0,NA,NA
Time,4,2,25%,Fastazi-S,36,0.0,NA,NA
Time,4,2,25%,Fastazi-P,36,0.0,NA,NA
Time,4,2,25%,Random,36,0.0,NA,NA
Time,4,2,30%,Ekstazi,44,0.0,NA,NA
Time,4,2,30%,FAST,44,0.0,NA,NA
Time,4,2,30%,Ekstazi+dpt,44,0.8809523809523809,18,0.12244897959183673
Time,4,2,30%,DPT,44,0.8809523809523809,18,0.12244897959183673
Time,4,2,30%,STARTS,1,0.0,NA,NA
Time,4,2,30%,STARTS+FAST-S,1,0.0,NA,NA
Time,4,2,30%,STARTS+FAST-P,1,0.0,NA,NA
Time,4,2,30%,STARTS+DPT,1,0.0,NA,NA
