Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Time,4,10%,Ekstazi,0.08163265306122454,12.0,0.03276643990929705,NA,NA,29,0,1
Time,4,10%,FAST,0.08163265306122454,12.0,0.0,NA,NA,30,0,0
Time,4,10%,Ekstazi+dpt,0.08163265306122454,12.0,0.0,NA,NA,30,0,0
Time,4,10%,DPT,0.08163265306122454,12.0,0.0,NA,NA,30,0,0
Time,4,10%,STARTS,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,10%,STARTS+FAST-S,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,10%,STARTS+FAST-P,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,10%,STARTS+DPT,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,10%,Fastazi-S,0.08163265306122454,12.0,0.0,NA,NA,30,0,0
Time,4,10%,Fastazi-P,0.08163265306122454,12.0,0.0,NA,NA,30,0,0
Time,4,10%,Random,0.08163265306122454,12.0,0.06349206349206349,NA,NA,28,0,2
Time,4,20%,Ekstazi,0.16326530612244908,24.0,0.18072562358276645,NA,NA,24,0,6
Time,4,20%,FAST,0.16326530612244908,24.0,0.0,NA,NA,30,0,0
Time,4,20%,Ekstazi+dpt,0.16326530612244908,24.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,20%,DPT,0.16326530612244908,24.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,20%,STARTS,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,20%,STARTS+FAST-S,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,20%,STARTS+FAST-P,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,20%,STARTS+DPT,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,20%,Fastazi-S,0.16326530612244908,24.0,0.0,NA,NA,30,0,0
Time,4,20%,Fastazi-P,0.16326530612244908,24.0,0.0,NA,NA,30,0,0
Time,4,20%,Random,0.16326530612244908,24.0,0.18072562358276645,NA,NA,24,0,6
Time,4,25%,Ekstazi,0.2040816326530611,30.0,0.26179138321995465,NA,NA,21,0,9
Time,4,25%,FAST,0.2040816326530611,30.0,0.0,NA,NA,30,0,0
Time,4,25%,Ekstazi+dpt,0.2040816326530611,30.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,25%,DPT,0.2040816326530611,30.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,25%,STARTS,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,25%,STARTS+FAST-S,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,25%,STARTS+FAST-P,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,25%,STARTS+DPT,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,25%,Fastazi-S,0.2040816326530611,30.0,0.0,NA,NA,30,0,0
Time,4,25%,Fastazi-P,0.2040816326530611,30.0,0.0,NA,NA,30,0,0
Time,4,25%,Random,0.2040816326530611,30.0,0.18072562358276645,NA,NA,24,0,6
Time,4,30%,Ekstazi,0.24489795918367357,36.0,0.26179138321995465,NA,NA,21,0,9
Time,4,30%,FAST,0.24489795918367357,36.0,0.0,NA,NA,30,0,0
Time,4,30%,Ekstazi+dpt,0.24489795918367357,36.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,30%,DPT,0.24489795918367357,36.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,30%,STARTS,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,30%,STARTS+FAST-S,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,30%,STARTS+FAST-P,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,30%,STARTS+DPT,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,30%,Fastazi-S,0.24489795918367357,36.0,0.0,NA,NA,30,0,0
Time,4,30%,Fastazi-P,0.24489795918367357,36.0,0.0,NA,NA,30,0,0
Time,4,30%,Random,0.24489795918367357,36.0,0.18072562358276645,NA,NA,24,0,6
Time,4,40%,Ekstazi,0.32653061224489816,48.0,0.35680272108843536,NA,NA,17,0,13
Time,4,40%,FAST,0.32653061224489816,48.0,0.0,NA,NA,30,0,0
Time,4,40%,Ekstazi+dpt,0.32653061224489816,48.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,40%,DPT,0.32653061224489816,48.0,0.8809523809523807,18.0,0.12244897959183679,0,1,30
Time,4,40%,STARTS,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,40%,STARTS+FAST-S,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
Time,4,40%,STARTS+FAST-P,0.006802721088435376,1.0,0.0,NA,NA,30,0,0
