Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Time,4,1,Ekstazi,121,0.5204081632653061,71,0.48299319727891155
Time,4,1,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,1,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,1,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,1,STARTS,1,0.0,NA,NA
Time,4,1,STARTS+FAST-S,1,0.0,NA,NA
Time,4,1,STARTS+FAST-P,1,0.0,NA,NA
Time,4,1,STARTS+DPT,1,0.0,NA,NA
Time,4,1,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,1,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,1,Random,147,0.6360544217687075,54,0.3673469387755102
Time,4,2,Ekstazi,121,0.2142857142857143,116,0.7891156462585034
Time,4,2,FAST,147,0.09863945578231292,133,0.9047619047619048
Time,4,2,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,2,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,2,STARTS,1,0.0,NA,NA
Time,4,2,STARTS+FAST-S,1,0.0,NA,NA
Time,4,2,STARTS+FAST-P,1,0.0,NA,NA
Time,4,2,STARTS+DPT,1,0.0,NA,NA
Time,4,2,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,2,Fastazi-P,121,0.24149659863945583,112,0.7619047619047619
Time,4,2,Random,147,0.5340136054421768,69,0.46938775510204084
Time,4,3,Ekstazi,121,0.9013605442176871,15,0.10204081632653061
Time,4,3,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,3,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,3,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,3,STARTS,1,0.0,NA,NA
Time,4,3,STARTS+FAST-S,1,0.0,NA,NA
Time,4,3,STARTS+FAST-P,1,0.0,NA,NA
Time,4,3,STARTS+DPT,1,0.0,NA,NA
Time,4,3,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,3,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,3,Random,147,0.9285714285714286,11,0.07482993197278912
Time,4,4,Ekstazi,121,0.2142857142857143,116,0.7891156462585034
Time,4,4,FAST,147,0.09863945578231292,133,0.9047619047619048
Time,4,4,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,4,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,4,STARTS,1,0.0,NA,NA
Time,4,4,STARTS+FAST-S,1,0.0,NA,NA
Time,4,4,STARTS+FAST-P,1,0.0,NA,NA
Time,4,4,STARTS+DPT,1,0.0,NA,NA
Time,4,4,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,4,Fastazi-P,121,0.24149659863945583,112,0.7619047619047619
Time,4,4,Random,147,0.8741496598639455,19,0.1292517006802721
Time,4,5,Ekstazi,121,0.738095238095238,39,0.2653061224489796
Time,4,5,FAST,147,0.09863945578231292,133,0.9047619047619048
Time,4,5,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,5,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,5,STARTS,1,0.0,NA,NA
Time,4,5,STARTS+FAST-S,1,0.0,NA,NA
Time,4,5,STARTS+FAST-P,1,0.0,NA,NA
Time,4,5,STARTS+DPT,1,0.0,NA,NA
Time,4,5,Fastazi-S,121,0.2482993197278912,111,0.7551020408163265
Time,4,5,Fastazi-P,121,0.24149659863945583,112,0.7619047619047619
Time,4,5,Random,147,0.5,74,0.5034013605442177
Time,4,6,Ekstazi,121,0.8877551020408163,17,0.11564625850340136
Time,4,6,FAST,147,0.09863945578231292,133,0.9047619047619048
Time,4,6,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,6,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,6,STARTS,1,0.0,NA,NA
Time,4,6,STARTS+FAST-S,1,0.0,NA,NA
Time,4,6,STARTS+FAST-P,1,0.0,NA,NA
Time,4,6,STARTS+DPT,1,0.0,NA,NA
Time,4,6,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,6,Fastazi-P,121,0.24149659863945583,112,0.7619047619047619
Time,4,6,Random,147,0.9013605442176871,15,0.10204081632653061
Time,4,7,Ekstazi,121,0.8129251700680272,28,0.19047619047619047
Time,4,7,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,7,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,7,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,7,STARTS,1,0.0,NA,NA
Time,4,7,STARTS+FAST-S,1,0.0,NA,NA
Time,4,7,STARTS+FAST-P,1,0.0,NA,NA
Time,4,7,STARTS+DPT,1,0.0,NA,NA
Time,4,7,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,7,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,7,Random,147,0.7040816326530612,44,0.29931972789115646
Time,4,8,Ekstazi,121,0.6836734693877551,47,0.3197278911564626
Time,4,8,FAST,147,0.09863945578231292,133,0.9047619047619048
Time,4,8,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,8,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,8,STARTS,1,0.0,NA,NA
Time,4,8,STARTS+FAST-S,1,0.0,NA,NA
Time,4,8,STARTS+FAST-P,1,0.0,NA,NA
Time,4,8,STARTS+DPT,1,0.0,NA,NA
Time,4,8,Fastazi-S,121,0.2482993197278912,111,0.7551020408163265
Time,4,8,Fastazi-P,121,0.24149659863945583,112,0.7619047619047619
Time,4,8,Random,147,0.4251700680272109,85,0.5782312925170068
Time,4,9,Ekstazi,121,0.8741496598639455,19,0.1292517006802721
Time,4,9,FAST,147,0.08503401360544216,135,0.9183673469387755
Time,4,9,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,9,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,9,STARTS,1,0.0,NA,NA
Time,4,9,STARTS+FAST-S,1,0.0,NA,NA
Time,4,9,STARTS+FAST-P,1,0.0,NA,NA
Time,4,9,STARTS+DPT,1,0.0,NA,NA
Time,4,9,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,9,Fastazi-P,121,0.22789115646258506,114,0.7755102040816326
Time,4,9,Random,147,0.3163265306122449,101,0.6870748299319728
Time,4,10,Ekstazi,121,0.20068027210884354,118,0.8027210884353742
Time,4,10,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,10,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,10,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,10,STARTS,1,0.0,NA,NA
Time,4,10,STARTS+FAST-S,1,0.0,NA,NA
Time,4,10,STARTS+FAST-P,1,0.0,NA,NA
Time,4,10,STARTS+DPT,1,0.0,NA,NA
Time,4,10,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,10,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,10,Random,147,0.9761904761904762,4,0.027210884353741496
Time,4,11,Ekstazi,121,0.26870748299319724,108,0.7346938775510204
Time,4,11,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,11,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,11,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,11,STARTS,1,0.0,NA,NA
Time,4,11,STARTS+FAST-S,1,0.0,NA,NA
Time,4,11,STARTS+FAST-P,1,0.0,NA,NA
Time,4,11,STARTS+DPT,1,0.0,NA,NA
Time,4,11,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,11,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,11,Random,147,0.6360544217687075,54,0.3673469387755102
Time,4,12,Ekstazi,121,0.2755102040816326,107,0.7278911564625851
Time,4,12,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,12,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,12,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,12,STARTS,1,0.0,NA,NA
Time,4,12,STARTS+FAST-S,1,0.0,NA,NA
Time,4,12,STARTS+FAST-P,1,0.0,NA,NA
Time,4,12,STARTS+DPT,1,0.0,NA,NA
Time,4,12,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,12,Fastazi-P,121,0.23469387755102045,113,0.7687074829931972
Time,4,12,Random,147,0.40476190476190477,88,0.5986394557823129
Time,4,13,Ekstazi,121,0.5544217687074829,66,0.4489795918367347
Time,4,13,FAST,147,0.09863945578231292,133,0.9047619047619048
Time,4,13,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,13,DPT,147,0.8809523809523809,18,0.12244897959183673
Time,4,13,STARTS,1,0.0,NA,NA
Time,4,13,STARTS+FAST-S,1,0.0,NA,NA
Time,4,13,STARTS+FAST-P,1,0.0,NA,NA
Time,4,13,STARTS+DPT,1,0.0,NA,NA
Time,4,13,Fastazi-S,121,0.2551020408163265,110,0.7482993197278912
Time,4,13,Fastazi-P,121,0.24149659863945583,112,0.7619047619047619
Time,4,13,Random,147,0.12585034013605445,129,0.8775510204081632
Time,4,14,Ekstazi,121,0.37074829931972786,93,0.6326530612244898
Time,4,14,FAST,147,0.09183673469387754,134,0.9115646258503401
Time,4,14,Ekstazi+dpt,121,0.8809523809523809,18,0.12244897959183673
Time,4,14,DPT,147,0.8809523809523809,18,0.12244897959183673
